Device: cuda | Model: 3 layers, 512 channels | Events: 150000
Starting CAPACITY EXPANSION training...
Epoch 027 | T-Loss: 0.1302 | V-Loss: 0.1303 | T-Prec: 0.6671 | V-Prec: 0.6656 | T-Rec: 0.4103 | V-Rec: 0.4103 | T-P@R0.9: 0.3451 | V-P@R0.9: 0.3464
Epoch 028 | T-Loss: 0.1301 | V-Loss: 0.1302 | T-Prec: 0.6597 | V-Prec: 0.6570 | T-Rec: 0.4305 | V-Rec: 0.4290 | T-P@R0.9: 0.3464 | V-P@R0.9: 0.3475
Epoch 029 | T-Loss: 0.1300 | V-Loss: 0.1301 | T-Prec: 0.6561 | V-Prec: 0.6536 | T-Rec: 0.4376 | V-Rec: 0.4361 | T-P@R0.9: 0.3465 | V-P@R0.9: 0.3478
Epoch 030 | T-Loss: 0.1299 | V-Loss: 0.1301 | T-Prec: 0.6677 | V-Prec: 0.6645 | T-Rec: 0.4106 | V-Rec: 0.4089 | T-P@R0.9: 0.3466 | V-P@R0.9: 0.3478
Epoch 031 | T-Loss: 0.1301 | V-Loss: 0.1302 | T-Prec: 0.6569 | V-Prec: 0.6550 | T-Rec: 0.4379 | V-Rec: 0.4370 | T-P@R0.9: 0.3455 | V-P@R0.9: 0.3464
Epoch 032 | T-Loss: 0.1299 | V-Loss: 0.1301 | T-Prec: 0.6589 | V-Prec: 0.6567 | T-Rec: 0.4345 | V-Rec: 0.4337 | T-P@R0.9: 0.3464 | V-P@R0.9: 0.3474
Epoch 033 | T-Loss: 0.1303 | V-Loss: 0.1310 | T-Prec: 0.6593 | V-Prec: 0.6572 | T-Rec: 0.4303 | V-Rec: 0.4288 | T-P@R0.9: 0.3469 | V-P@R0.9: 0.3479
Epoch 034 | T-Loss: 0.1298 | V-Loss: 0.1300 | T-Prec: 0.6633 | V-Prec: 0.6602 | T-Rec: 0.4213 | V-Rec: 0.4182 | T-P@R0.9: 0.3470 | V-P@R0.9: 0.3479
Epoch 035 | T-Loss: 0.1298 | V-Loss: 0.1299 | T-Prec: 0.6561 | V-Prec: 0.6536 | T-Rec: 0.4405 | V-Rec: 0.4386 | T-P@R0.9: 0.3472 | V-P@R0.9: 0.3482
Epoch 036 | T-Loss: 0.1298 | V-Loss: 0.1299 | T-Prec: 0.6614 | V-Prec: 0.6589 | T-Rec: 0.4253 | V-Rec: 0.4244 | T-P@R0.9: 0.3465 | V-P@R0.9: 0.3478
Epoch 037 | T-Loss: 0.1297 | V-Loss: 0.1298 | T-Prec: 0.6668 | V-Prec: 0.6633 | T-Rec: 0.4166 | V-Rec: 0.4152 | T-P@R0.9: 0.3471 | V-P@R0.9: 0.3487
Epoch 038 | T-Loss: 0.1298 | V-Loss: 0.1300 | T-Prec: 0.6540 | V-Prec: 0.6527 | T-Rec: 0.4429 | V-Rec: 0.4406 | T-P@R0.9: 0.3474 | V-P@R0.9: 0.3475
Epoch 039 | T-Loss: 0.1296 | V-Loss: 0.1297 | T-Prec: 0.6627 | V-Prec: 0.6605 | T-Rec: 0.4266 | V-Rec: 0.4249 | T-P@R0.9: 0.3478 | V-P@R0.9: 0.3489
Epoch 040 | T-Loss: 0.1298 | V-Loss: 0.1299 | T-Prec: 0.6638 | V-Prec: 0.6607 | T-Rec: 0.4254 | V-Rec: 0.4245 | T-P@R0.9: 0.3479 | V-P@R0.9: 0.3492
Epoch 041 | T-Loss: 0.1299 | V-Loss: 0.1302 | T-Prec: 0.6634 | V-Prec: 0.6606 | T-Rec: 0.4233 | V-Rec: 0.4208 | T-P@R0.9: 0.3461 | V-P@R0.9: 0.3472
Epoch 042 | T-Loss: 0.1297 | V-Loss: 0.1298 | T-Prec: 0.6621 | V-Prec: 0.6592 | T-Rec: 0.4278 | V-Rec: 0.4265 | T-P@R0.9: 0.3467 | V-P@R0.9: 0.3482
Epoch 043 | T-Loss: 0.1296 | V-Loss: 0.1296 | T-Prec: 0.6503 | V-Prec: 0.6485 | T-Rec: 0.4578 | V-Rec: 0.4574 | T-P@R0.9: 0.3476 | V-P@R0.9: 0.3490
Epoch 044 | T-Loss: 0.1297 | V-Loss: 0.1301 | T-Prec: 0.6619 | V-Prec: 0.6599 | T-Rec: 0.4259 | V-Rec: 0.4246 | T-P@R0.9: 0.3487 | V-P@R0.9: 0.3496
Epoch 045 | T-Loss: 0.1295 | V-Loss: 0.1296 | T-Prec: 0.6647 | V-Prec: 0.6616 | T-Rec: 0.4230 | V-Rec: 0.4212 | T-P@R0.9: 0.3487 | V-P@R0.9: 0.3491
Epoch 046 | T-Loss: 0.1294 | V-Loss: 0.1295 | T-Prec: 0.6556 | V-Prec: 0.6532 | T-Rec: 0.4458 | V-Rec: 0.4454 | T-P@R0.9: 0.3486 | V-P@R0.9: 0.3501
Epoch 047 | T-Loss: 0.1295 | V-Loss: 0.1296 | T-Prec: 0.6541 | V-Prec: 0.6529 | T-Rec: 0.4472 | V-Rec: 0.4468 | T-P@R0.9: 0.3480 | V-P@R0.9: 0.3496
Epoch 048 | T-Loss: 0.1297 | V-Loss: 0.1298 | T-Prec: 0.6554 | V-Prec: 0.6534 | T-Rec: 0.4458 | V-Rec: 0.4441 | T-P@R0.9: 0.3474 | V-P@R0.9: 0.3484
Epoch 049 | T-Loss: 0.1297 | V-Loss: 0.1299 | T-Prec: 0.6558 | V-Prec: 0.6536 | T-Rec: 0.4431 | V-Rec: 0.4422 | T-P@R0.9: 0.3469 | V-P@R0.9: 0.3483
Epoch 050 | T-Loss: 0.1294 | V-Loss: 0.1295 | T-Prec: 0.6609 | V-Prec: 0.6579 | T-Rec: 0.4342 | V-Rec: 0.4329 | T-P@R0.9: 0.3494 | V-P@R0.9: 0.3499
Epoch 051 | T-Loss: 0.1294 | V-Loss: 0.1295 | T-Prec: 0.6620 | V-Prec: 0.6596 | T-Rec: 0.4315 | V-Rec: 0.4297 | T-P@R0.9: 0.3485 | V-P@R0.9: 0.3494
Epoch 052 | T-Loss: 0.1294 | V-Loss: 0.1296 | T-Prec: 0.6537 | V-Prec: 0.6514 | T-Rec: 0.4525 | V-Rec: 0.4525 | T-P@R0.9: 0.3483 | V-P@R0.9: 0.3491
Epoch 053 | T-Loss: 0.1293 | V-Loss: 0.1294 | T-Prec: 0.6617 | V-Prec: 0.6585 | T-Rec: 0.4334 | V-Rec: 0.4316 | T-P@R0.9: 0.3483 | V-P@R0.9: 0.3500
Epoch 054 | T-Loss: 0.1293 | V-Loss: 0.1294 | T-Prec: 0.6621 | V-Prec: 0.6596 | T-Rec: 0.4304 | V-Rec: 0.4290 | T-P@R0.9: 0.3492 | V-P@R0.9: 0.3495
Epoch 055 | T-Loss: 0.1293 | V-Loss: 0.1294 | T-Prec: 0.6634 | V-Prec: 0.6602 | T-Rec: 0.4277 | V-Rec: 0.4268 | T-P@R0.9: 0.3495 | V-P@R0.9: 0.3503
Epoch 056 | T-Loss: 0.1293 | V-Loss: 0.1294 | T-Prec: 0.6674 | V-Prec: 0.6642 | T-Rec: 0.4217 | V-Rec: 0.4208 | T-P@R0.9: 0.3485 | V-P@R0.9: 0.3502
Epoch 057 | T-Loss: 0.1296 | V-Loss: 0.1299 | T-Prec: 0.6540 | V-Prec: 0.6514 | T-Rec: 0.4532 | V-Rec: 0.4512 | T-P@R0.9: 0.3469 | V-P@R0.9: 0.3478
Epoch 058 | T-Loss: 0.1293 | V-Loss: 0.1293 | T-Prec: 0.6539 | V-Prec: 0.6512 | T-Rec: 0.4545 | V-Rec: 0.4537 | T-P@R0.9: 0.3497 | V-P@R0.9: 0.3505
Epoch 059 | T-Loss: 0.1292 | V-Loss: 0.1293 | T-Prec: 0.6586 | V-Prec: 0.6569 | T-Rec: 0.4426 | V-Rec: 0.4428 | T-P@R0.9: 0.3488 | V-P@R0.9: 0.3500
Epoch 060 | T-Loss: 0.1292 | V-Loss: 0.1294 | T-Prec: 0.6619 | V-Prec: 0.6587 | T-Rec: 0.4355 | V-Rec: 0.4346 | T-P@R0.9: 0.3491 | V-P@R0.9: 0.3489
Epoch 061 | T-Loss: 0.1294 | V-Loss: 0.1295 | T-Prec: 0.6546 | V-Prec: 0.6527 | T-Rec: 0.4511 | V-Rec: 0.4498 | T-P@R0.9: 0.3494 | V-P@R0.9: 0.3495
Epoch 062 | T-Loss: 0.1291 | V-Loss: 0.1292 | T-Prec: 0.6545 | V-Prec: 0.6518 | T-Rec: 0.4568 | V-Rec: 0.4559 | T-P@R0.9: 0.3496 | V-P@R0.9: 0.3506
Epoch 063 | T-Loss: 0.1291 | V-Loss: 0.1292 | T-Prec: 0.6649 | V-Prec: 0.6613 | T-Rec: 0.4290 | V-Rec: 0.4282 | T-P@R0.9: 0.3506 | V-P@R0.9: 0.3507
Epoch 064 | T-Loss: 0.1292 | V-Loss: 0.1293 | T-Prec: 0.6478 | V-Prec: 0.6455 | T-Rec: 0.4726 | V-Rec: 0.4707 | T-P@R0.9: 0.3499 | V-P@R0.9: 0.3510
Epoch 065 | T-Loss: 0.1290 | V-Loss: 0.1291 | T-Prec: 0.6632 | V-Prec: 0.6602 | T-Rec: 0.4348 | V-Rec: 0.4340 | T-P@R0.9: 0.3499 | V-P@R0.9: 0.3510
Epoch 066 | T-Loss: 0.1290 | V-Loss: 0.1292 | T-Prec: 0.6583 | V-Prec: 0.6549 | T-Rec: 0.4479 | V-Rec: 0.4469 | T-P@R0.9: 0.3498 | V-P@R0.9: 0.3506
Epoch 067 | T-Loss: 0.1292 | V-Loss: 0.1292 | T-Prec: 0.6697 | V-Prec: 0.6666 | T-Rec: 0.4205 | V-Rec: 0.4211 | T-P@R0.9: 0.3492 | V-P@R0.9: 0.3503
Epoch 068 | T-Loss: 0.1290 | V-Loss: 0.1292 | T-Prec: 0.6623 | V-Prec: 0.6591 | T-Rec: 0.4384 | V-Rec: 0.4375 | T-P@R0.9: 0.3499 | V-P@R0.9: 0.3510
Epoch 069 | T-Loss: 0.1290 | V-Loss: 0.1291 | T-Prec: 0.6674 | V-Prec: 0.6639 | T-Rec: 0.4289 | V-Rec: 0.4290 | T-P@R0.9: 0.3499 | V-P@R0.9: 0.3516
Epoch 070 | T-Loss: 0.1292 | V-Loss: 0.1296 | T-Prec: 0.6528 | V-Prec: 0.6508 | T-Rec: 0.4594 | V-Rec: 0.4588 | T-P@R0.9: 0.3501 | V-P@R0.9: 0.3506
Epoch 071 | T-Loss: 0.1290 | V-Loss: 0.1290 | T-Prec: 0.6640 | V-Prec: 0.6611 | T-Rec: 0.4344 | V-Rec: 0.4333 | T-P@R0.9: 0.3505 | V-P@R0.9: 0.3508
Epoch 072 | T-Loss: 0.1289 | V-Loss: 0.1291 | T-Prec: 0.6614 | V-Prec: 0.6588 | T-Rec: 0.4409 | V-Rec: 0.4403 | T-P@R0.9: 0.3501 | V-P@R0.9: 0.3511
Epoch 073 | T-Loss: 0.1289 | V-Loss: 0.1289 | T-Prec: 0.6523 | V-Prec: 0.6497 | T-Rec: 0.4652 | V-Rec: 0.4644 | T-P@R0.9: 0.3520 | V-P@R0.9: 0.3517
Epoch 074 | T-Loss: 0.1290 | V-Loss: 0.1291 | T-Prec: 0.6544 | V-Prec: 0.6520 | T-Rec: 0.4553 | V-Rec: 0.4546 | T-P@R0.9: 0.3501 | V-P@R0.9: 0.3514
Epoch 075 | T-Loss: 0.1289 | V-Loss: 0.1290 | T-Prec: 0.6516 | V-Prec: 0.6494 | T-Rec: 0.4660 | V-Rec: 0.4645 | T-P@R0.9: 0.3516 | V-P@R0.9: 0.3520
Epoch 076 | T-Loss: 0.1288 | V-Loss: 0.1289 | T-Prec: 0.6567 | V-Prec: 0.6544 | T-Rec: 0.4544 | V-Rec: 0.4533 | T-P@R0.9: 0.3515 | V-P@R0.9: 0.3518
Epoch 077 | T-Loss: 0.1292 | V-Loss: 0.1293 | T-Prec: 0.6704 | V-Prec: 0.6665 | T-Rec: 0.4240 | V-Rec: 0.4238 | T-P@R0.9: 0.3496 | V-P@R0.9: 0.3503
Epoch 078 | T-Loss: 0.1292 | V-Loss: 0.1292 | T-Prec: 0.6580 | V-Prec: 0.6548 | T-Rec: 0.4509 | V-Rec: 0.4487 | T-P@R0.9: 0.3484 | V-P@R0.9: 0.3500
Epoch 079 | T-Loss: 0.1290 | V-Loss: 0.1293 | T-Prec: 0.6637 | V-Prec: 0.6608 | T-Rec: 0.4386 | V-Rec: 0.4375 | T-P@R0.9: 0.3500 | V-P@R0.9: 0.3496
Epoch 080 | T-Loss: 0.1288 | V-Loss: 0.1289 | T-Prec: 0.6644 | V-Prec: 0.6609 | T-Rec: 0.4380 | V-Rec: 0.4367 | T-P@R0.9: 0.3510 | V-P@R0.9: 0.3522
Epoch 081 | T-Loss: 0.1287 | V-Loss: 0.1288 | T-Prec: 0.6709 | V-Prec: 0.6683 | T-Rec: 0.4228 | V-Rec: 0.4224 | T-P@R0.9: 0.3514 | V-P@R0.9: 0.3525
Epoch 082 | T-Loss: 0.1288 | V-Loss: 0.1289 | T-Prec: 0.6594 | V-Prec: 0.6567 | T-Rec: 0.4498 | V-Rec: 0.4492 | T-P@R0.9: 0.3506 | V-P@R0.9: 0.3517
Epoch 083 | T-Loss: 0.1288 | V-Loss: 0.1289 | T-Prec: 0.6674 | V-Prec: 0.6648 | T-Rec: 0.4319 | V-Rec: 0.4316 | T-P@R0.9: 0.3507 | V-P@R0.9: 0.3510
Epoch 084 | T-Loss: 0.1288 | V-Loss: 0.1291 | T-Prec: 0.6579 | V-Prec: 0.6547 | T-Rec: 0.4556 | V-Rec: 0.4546 | T-P@R0.9: 0.3521 | V-P@R0.9: 0.3523
Epoch 085 | T-Loss: 0.1290 | V-Loss: 0.1297 | T-Prec: 0.6656 | V-Prec: 0.6614 | T-Rec: 0.4332 | V-Rec: 0.4296 | T-P@R0.9: 0.3519 | V-P@R0.9: 0.3496
Epoch 086 | T-Loss: 0.1285 | V-Loss: 0.1286 | T-Prec: 0.6567 | V-Prec: 0.6540 | T-Rec: 0.4599 | V-Rec: 0.4588 | T-P@R0.9: 0.3526 | V-P@R0.9: 0.3527
Epoch 087 | T-Loss: 0.1289 | V-Loss: 0.1289 | T-Prec: 0.6555 | V-Prec: 0.6531 | T-Rec: 0.4605 | V-Rec: 0.4597 | T-P@R0.9: 0.3500 | V-P@R0.9: 0.3506
Epoch 088 | T-Loss: 0.1285 | V-Loss: 0.1285 | T-Prec: 0.6640 | V-Prec: 0.6603 | T-Rec: 0.4446 | V-Rec: 0.4430 | T-P@R0.9: 0.3524 | V-P@R0.9: 0.3528
Epoch 089 | T-Loss: 0.1284 | V-Loss: 0.1285 | T-Prec: 0.6576 | V-Prec: 0.6556 | T-Rec: 0.4569 | V-Rec: 0.4564 | T-P@R0.9: 0.3530 | V-P@R0.9: 0.3535
Epoch 090 | T-Loss: 0.1285 | V-Loss: 0.1286 | T-Prec: 0.6555 | V-Prec: 0.6534 | T-Rec: 0.4617 | V-Rec: 0.4615 | T-P@R0.9: 0.3527 | V-P@R0.9: 0.3525
Epoch 091 | T-Loss: 0.1285 | V-Loss: 0.1285 | T-Prec: 0.6599 | V-Prec: 0.6570 | T-Rec: 0.4516 | V-Rec: 0.4511 | T-P@R0.9: 0.3527 | V-P@R0.9: 0.3526
Epoch 092 | T-Loss: 0.1289 | V-Loss: 0.1290 | T-Prec: 0.6568 | V-Prec: 0.6550 | T-Rec: 0.4562 | V-Rec: 0.4557 | T-P@R0.9: 0.3496 | V-P@R0.9: 0.3511
Epoch 093 | T-Loss: 0.1284 | V-Loss: 0.1285 | T-Prec: 0.6678 | V-Prec: 0.6639 | T-Rec: 0.4362 | V-Rec: 0.4345 | T-P@R0.9: 0.3533 | V-P@R0.9: 0.3529
Epoch 094 | T-Loss: 0.1288 | V-Loss: 0.1291 | T-Prec: 0.6594 | V-Prec: 0.6574 | T-Rec: 0.4510 | V-Rec: 0.4493 | T-P@R0.9: 0.3507 | V-P@R0.9: 0.3510
Epoch 095 | T-Loss: 0.1286 | V-Loss: 0.1287 | T-Prec: 0.6514 | V-Prec: 0.6497 | T-Rec: 0.4730 | V-Rec: 0.4721 | T-P@R0.9: 0.3523 | V-P@R0.9: 0.3519
Epoch 096 | T-Loss: 0.1284 | V-Loss: 0.1285 | T-Prec: 0.6609 | V-Prec: 0.6586 | T-Rec: 0.4516 | V-Rec: 0.4522 | T-P@R0.9: 0.3528 | V-P@R0.9: 0.3525
Epoch 097 | T-Loss: 0.1283 | V-Loss: 0.1283 | T-Prec: 0.6626 | V-Prec: 0.6600 | T-Rec: 0.4506 | V-Rec: 0.4490 | T-P@R0.9: 0.3531 | V-P@R0.9: 0.3537
Epoch 098 | T-Loss: 0.1286 | V-Loss: 0.1287 | T-Prec: 0.6687 | V-Prec: 0.6659 | T-Rec: 0.4343 | V-Rec: 0.4350 | T-P@R0.9: 0.3522 | V-P@R0.9: 0.3522
Epoch 099 | T-Loss: 0.1282 | V-Loss: 0.1284 | T-Prec: 0.6616 | V-Prec: 0.6590 | T-Rec: 0.4516 | V-Rec: 0.4504 | T-P@R0.9: 0.3532 | V-P@R0.9: 0.3536
Epoch 100 | T-Loss: 0.1284 | V-Loss: 0.1286 | T-Prec: 0.6657 | V-Prec: 0.6634 | T-Rec: 0.4414 | V-Rec: 0.4410 | T-P@R0.9: 0.3529 | V-P@R0.9: 0.3529

