nohup: ignoring input
Device: cuda | Experiment: t_res feature | Events: 200000
Epoch 023 | Time: 107.7s | LR: 2.00e-04 | T-Loss: 0.1212 | V-Loss: 0.1204 | T-Prec: 0.6541 | V-Prec: 0.6564 | T-Rec: 0.4905 | V-Rec: 0.4955 | T-P@R0.9: 0.3997 | V-P@R0.9: 0.4026
Epoch 024 | Time: 107.5s | LR: 2.00e-04 | T-Loss: 0.1209 | V-Loss: 0.1201 | T-Prec: 0.6646 | V-Prec: 0.6657 | T-Rec: 0.4696 | V-Rec: 0.4740 | T-P@R0.9: 0.4010 | V-P@R0.9: 0.4036
Epoch 025 | Time: 107.4s | LR: 2.00e-04 | T-Loss: 0.1208 | V-Loss: 0.1200 | T-Prec: 0.6664 | V-Prec: 0.6681 | T-Rec: 0.4665 | V-Rec: 0.4708 | T-P@R0.9: 0.4014 | V-P@R0.9: 0.4048
Epoch 026 | Time: 107.2s | LR: 2.00e-04 | T-Loss: 0.1207 | V-Loss: 0.1199 | T-Prec: 0.6641 | V-Prec: 0.6658 | T-Rec: 0.4725 | V-Rec: 0.4766 | T-P@R0.9: 0.4024 | V-P@R0.9: 0.4056
Epoch 027 | Time: 107.2s | LR: 2.00e-04 | T-Loss: 0.1207 | V-Loss: 0.1198 | T-Prec: 0.6532 | V-Prec: 0.6544 | T-Rec: 0.5033 | V-Rec: 0.5072 | T-P@R0.9: 0.4028 | V-P@R0.9: 0.4052
Epoch 028 | Time: 107.3s | LR: 2.00e-04 | T-Loss: 0.1205 | V-Loss: 0.1197 | T-Prec: 0.6651 | V-Prec: 0.6676 | T-Rec: 0.4723 | V-Rec: 0.4771 | T-P@R0.9: 0.4025 | V-P@R0.9: 0.4052
Epoch 029 | Time: 106.4s | LR: 2.00e-04 | T-Loss: 0.1206 | V-Loss: 0.1198 | T-Prec: 0.6578 | V-Prec: 0.6589 | T-Rec: 0.4936 | V-Rec: 0.4980 | T-P@R0.9: 0.4022 | V-P@R0.9: 0.4053
Epoch 030 | Time: 106.9s | LR: 2.00e-04 | T-Loss: 0.1203 | V-Loss: 0.1194 | T-Prec: 0.6558 | V-Prec: 0.6569 | T-Rec: 0.5031 | V-Rec: 0.5074 | T-P@R0.9: 0.4034 | V-P@R0.9: 0.4069
Epoch 031 | Time: 106.7s | LR: 2.00e-04 | T-Loss: 0.1200 | V-Loss: 0.1192 | T-Prec: 0.6573 | V-Prec: 0.6586 | T-Rec: 0.5023 | V-Rec: 0.5062 | T-P@R0.9: 0.4053 | V-P@R0.9: 0.4083
Epoch 032 | Time: 106.8s | LR: 2.00e-04 | T-Loss: 0.1202 | V-Loss: 0.1194 | T-Prec: 0.6680 | V-Prec: 0.6696 | T-Rec: 0.4737 | V-Rec: 0.4781 | T-P@R0.9: 0.4050 | V-P@R0.9: 0.4088
Epoch 033 | Time: 107.3s | LR: 2.00e-04 | T-Loss: 0.1199 | V-Loss: 0.1191 | T-Prec: 0.6614 | V-Prec: 0.6624 | T-Rec: 0.4945 | V-Rec: 0.4974 | T-P@R0.9: 0.4058 | V-P@R0.9: 0.4094
Epoch 034 | Time: 107.9s | LR: 2.00e-04 | T-Loss: 0.1199 | V-Loss: 0.1190 | T-Prec: 0.6630 | V-Prec: 0.6642 | T-Rec: 0.4935 | V-Rec: 0.4973 | T-P@R0.9: 0.4058 | V-P@R0.9: 0.4095
