nohup: ignoring input
Device: cuda | Experiment: Extended Features (9) | Events: 200000
Epoch 037 | Time: 113.4s | LR: 2.00e-04 | T-Loss: 0.1182 | V-Loss: 0.1175 | T-P@R0.9: 0.4117 | V-P@R0.9: 0.4145
Epoch 038 | Time: 113.2s | LR: 2.00e-04 | T-Loss: 0.1179 | V-Loss: 0.1172 | T-P@R0.9: 0.4120 | V-P@R0.9: 0.4160
Epoch 039 | Time: 111.7s | LR: 2.00e-04 | T-Loss: 0.1180 | V-Loss: 0.1174 | T-P@R0.9: 0.4126 | V-P@R0.9: 0.4153
Epoch 040 | Time: 113.0s | LR: 2.00e-04 | T-Loss: 0.1179 | V-Loss: 0.1171 | T-P@R0.9: 0.4137 | V-P@R0.9: 0.4169
Epoch 041 | Time: 113.3s | LR: 2.00e-04 | T-Loss: 0.1177 | V-Loss: 0.1170 | T-P@R0.9: 0.4136 | V-P@R0.9: 0.4165
Epoch 042 | Time: 113.0s | LR: 2.00e-04 | T-Loss: 0.1176 | V-Loss: 0.1170 | T-P@R0.9: 0.4150 | V-P@R0.9: 0.4181
Epoch 043 | Time: 113.3s | LR: 2.00e-04 | T-Loss: 0.1171 | V-Loss: 0.1165 | T-P@R0.9: 0.4148 | V-P@R0.9: 0.4175
Epoch 044 | Time: 112.2s | LR: 2.00e-04 | T-Loss: 0.1172 | V-Loss: 0.1166 | T-P@R0.9: 0.4142 | V-P@R0.9: 0.4176
Epoch 045 | Time: 113.2s | LR: 2.00e-04 | T-Loss: 0.1170 | V-Loss: 0.1163 | T-P@R0.9: 0.4147 | V-P@R0.9: 0.4189
Epoch 046 | Time: 112.9s | LR: 2.00e-04 | T-Loss: 0.1168 | V-Loss: 0.1162 | T-P@R0.9: 0.4147 | V-P@R0.9: 0.4176
Epoch 047 | Time: 113.4s | LR: 2.00e-04 | T-Loss: 0.1171 | V-Loss: 0.1164 | T-P@R0.9: 0.4164 | V-P@R0.9: 0.4181
Epoch 048 | Time: 112.8s | LR: 2.00e-04 | T-Loss: 0.1165 | V-Loss: 0.1158 | T-P@R0.9: 0.4162 | V-P@R0.9: 0.4195
Epoch 049 | Time: 112.8s | LR: 2.00e-04 | T-Loss: 0.1165 | V-Loss: 0.1158 | T-P@R0.9: 0.4154 | V-P@R0.9: 0.4180
Epoch 050 | Time: 113.5s | LR: 2.00e-04 | T-Loss: 0.1163 | V-Loss: 0.1156 | T-P@R0.9: 0.4166 | V-P@R0.9: 0.4203
Epoch 051 | Time: 112.0s | LR: 2.00e-04 | T-Loss: 0.1161 | V-Loss: 0.1155 | T-P@R0.9: 0.4176 | V-P@R0.9: 0.4199
Epoch 052 | Time: 113.7s | LR: 2.00e-04 | T-Loss: 0.1162 | V-Loss: 0.1154 | T-P@R0.9: 0.4172 | V-P@R0.9: 0.4209
Epoch 053 | Time: 112.9s | LR: 2.00e-04 | T-Loss: 0.1157 | V-Loss: 0.1150 | T-P@R0.9: 0.4186 | V-P@R0.9: 0.4206
Epoch 054 | Time: 113.4s | LR: 2.00e-04 | T-Loss: 0.1158 | V-Loss: 0.1151 | T-P@R0.9: 0.4188 | V-P@R0.9: 0.4211
Epoch 055 | Time: 113.4s | LR: 2.00e-04 | T-Loss: 0.1158 | V-Loss: 0.1151 | T-P@R0.9: 0.4175 | V-P@R0.9: 0.4190
Epoch 056 | Time: 112.8s | LR: 2.00e-04 | T-Loss: 0.1155 | V-Loss: 0.1149 | T-P@R0.9: 0.4181 | V-P@R0.9: 0.4204
Epoch 057 | Time: 113.5s | LR: 2.00e-04 | T-Loss: 0.1152 | V-Loss: 0.1146 | T-P@R0.9: 0.4197 | V-P@R0.9: 0.4214
Epoch 058 | Time: 112.9s | LR: 2.00e-04 | T-Loss: 0.1150 | V-Loss: 0.1143 | T-P@R0.9: 0.4197 | V-P@R0.9: 0.4221
Epoch 059 | Time: 113.2s | LR: 2.00e-04 | T-Loss: 0.1150 | V-Loss: 0.1144 | T-P@R0.9: 0.4198 | V-P@R0.9: 0.4218
Epoch 060 | Time: 113.2s | LR: 2.00e-04 | T-Loss: 0.1148 | V-Loss: 0.1142 | T-P@R0.9: 0.4200 | V-P@R0.9: 0.4231
Epoch 061 | Time: 113.9s | LR: 2.00e-04 | T-Loss: 0.1146 | V-Loss: 0.1139 | T-P@R0.9: 0.4215 | V-P@R0.9: 0.4230
