Starting NORMALIZED 21-FEATURE Marathon on cuda
Epoch 0097 | Time: 32.1s | Val P@R0.9: 0.7674
Epoch 0098 | Time: 44.5s | Val P@R0.9: 0.8144
Epoch 0099 | Time: 33.1s | Val P@R0.9: 0.7862
Epoch 0100 | Time: 45.2s | Val P@R0.9: 0.7815
Epoch 0101 | Time: 31.2s | Val P@R0.9: 0.8167
Epoch 0102 | Time: 43.9s | Val P@R0.9: 0.8036
Epoch 0103 | Time: 32.2s | Val P@R0.9: 0.8071
Epoch 0104 | Time: 52.8s | Val P@R0.9: 0.8079
Epoch 0105 | Time: 32.4s | Val P@R0.9: 0.8261
Epoch 0106 | Time: 47.8s | Val P@R0.9: 0.8069
Epoch 0107 | Time: 33.0s | Val P@R0.9: 0.7907
Epoch 0108 | Time: 45.9s | Val P@R0.9: 0.8050
Epoch 0109 | Time: 32.3s | Val P@R0.9: 0.8338
Epoch 0110 | Time: 44.0s | Val P@R0.9: 0.8101
Epoch 0111 | Time: 31.7s | Val P@R0.9: 0.8117
Epoch 0112 | Time: 45.2s | Val P@R0.9: 0.7960
Epoch 0113 | Time: 31.5s | Val P@R0.9: 0.8272
Epoch 0114 | Time: 46.3s | Val P@R0.9: 0.8292
Epoch 0115 | Time: 33.8s | Val P@R0.9: 0.7785
Epoch 0116 | Time: 54.6s | Val P@R0.9: 0.8115
Epoch 0117 | Time: 31.4s | Val P@R0.9: 0.8287
Epoch 0118 | Time: 43.8s | Val P@R0.9: 0.7993
Epoch 0119 | Time: 31.1s | Val P@R0.9: 0.8160
Epoch 0120 | Time: 46.4s | Val P@R0.9: 0.7736
Epoch 0121 | Time: 31.0s | Val P@R0.9: 0.8318
Epoch 0122 | Time: 46.9s | Val P@R0.9: 0.8228
Epoch 0123 | Time: 31.4s | Val P@R0.9: 0.7982
Epoch 0124 | Time: 41.0s | Val P@R0.9: 0.8199
Epoch 0125 | Time: 35.3s | Val P@R0.9: 0.8436
Epoch 0126 | Time: 31.4s | Val P@R0.9: 0.8019
Epoch 0127 | Time: 41.6s | Val P@R0.9: 0.8433
Epoch 0128 | Time: 31.5s | Val P@R0.9: 0.8172
Epoch 0129 | Time: 46.2s | Val P@R0.9: 0.8014
Epoch 0130 | Time: 31.1s | Val P@R0.9: 0.8456
Epoch 0131 | Time: 48.2s | Val P@R0.9: 0.8494
Epoch 0132 | Time: 32.8s | Val P@R0.9: 0.8142
Epoch 0133 | Time: 44.4s | Val P@R0.9: 0.8361
Epoch 0134 | Time: 31.0s | Val P@R0.9: 0.8308
Epoch 0135 | Time: 55.5s | Val P@R0.9: 0.8224
Epoch 0136 | Time: 31.2s | Val P@R0.9: 0.8220
Epoch 0137 | Time: 60.0s | Val P@R0.9: 0.8073
Epoch 0138 | Time: 31.5s | Val P@R0.9: 0.8379
Epoch 0139 | Time: 43.8s | Val P@R0.9: 0.8120
Epoch 0140 | Time: 31.6s | Val P@R0.9: 0.8254
Epoch 0141 | Time: 44.6s | Val P@R0.9: 0.8209
Epoch 0142 | Time: 31.2s | Val P@R0.9: 0.7850
Epoch 0143 | Time: 45.3s | Val P@R0.9: 0.8277
Epoch 0144 | Time: 31.3s | Val P@R0.9: 0.8444
Epoch 0145 | Time: 49.3s | Val P@R0.9: 0.8278
Epoch 0146 | Time: 32.1s | Val P@R0.9: 0.8388
Epoch 0147 | Time: 48.7s | Val P@R0.9: 0.8465
Epoch 0148 | Time: 31.6s | Val P@R0.9: 0.8299
Epoch 0149 | Time: 45.1s | Val P@R0.9: 0.8110
Epoch 0150 | Time: 31.4s | Val P@R0.9: 0.8082
Epoch 0151 | Time: 43.1s | Val P@R0.9: 0.8411
Epoch 0152 | Time: 31.2s | Val P@R0.9: 0.8411
Epoch 0153 | Time: 41.6s | Val P@R0.9: 0.8429
Epoch 0154 | Time: 33.3s | Val P@R0.9: 0.8122
Epoch 0155 | Time: 44.7s | Val P@R0.9: 0.8243
Epoch 0156 | Time: 32.4s | Val P@R0.9: 0.8558
Epoch 0157 | Time: 43.2s | Val P@R0.9: 0.8443
Epoch 0158 | Time: 32.7s | Val P@R0.9: 0.8304
Epoch 0159 | Time: 46.2s | Val P@R0.9: 0.8190
Epoch 0160 | Time: 33.3s | Val P@R0.9: 0.8168
Epoch 0161 | Time: 43.9s | Val P@R0.9: 0.8456
Epoch 0162 | Time: 31.5s | Val P@R0.9: 0.8344
Epoch 0163 | Time: 53.1s | Val P@R0.9: 0.8234
Epoch 0164 | Time: 30.9s | Val P@R0.9: 0.8514
Epoch 0165 | Time: 47.0s | Val P@R0.9: 0.8352
Epoch 0166 | Time: 42.2s | Val P@R0.9: 0.8313
Epoch 0167 | Time: 32.8s | Val P@R0.9: 0.8489
Epoch 0168 | Time: 55.8s | Val P@R0.9: 0.8270
Epoch 0169 | Time: 31.2s | Val P@R0.9: 0.8272
Epoch 0170 | Time: 56.9s | Val P@R0.9: 0.8559
Epoch 0171 | Time: 32.5s | Val P@R0.9: 0.8244
Epoch 0172 | Time: 61.3s | Val P@R0.9: 0.8375
Epoch 0173 | Time: 32.3s | Val P@R0.9: 0.8506
Epoch 0174 | Time: 58.7s | Val P@R0.9: 0.8356
Epoch 0175 | Time: 31.7s | Val P@R0.9: 0.7966
Epoch 0176 | Time: 60.6s | Val P@R0.9: 0.8368
Epoch 0177 | Time: 33.4s | Val P@R0.9: 0.8390
Epoch 0178 | Time: 62.2s | Val P@R0.9: 0.8560
Epoch 0179 | Time: 32.5s | Val P@R0.9: 0.8566
Epoch 0180 | Time: 62.3s | Val P@R0.9: 0.8514
Epoch 0181 | Time: 32.1s | Val P@R0.9: 0.8532
Epoch 0182 | Time: 54.9s | Val P@R0.9: 0.8291
Epoch 0183 | Time: 30.9s | Val P@R0.9: 0.8544
Epoch 0184 | Time: 48.2s | Val P@R0.9: 0.8550
Epoch 0185 | Time: 31.5s | Val P@R0.9: 0.8325
Epoch 0186 | Time: 56.5s | Val P@R0.9: 0.8124
Epoch 0187 | Time: 31.6s | Val P@R0.9: 0.8433
Epoch 0188 | Time: 49.6s | Val P@R0.9: 0.8437
Epoch 0189 | Time: 33.3s | Val P@R0.9: 0.8442
Epoch 0190 | Time: 49.6s | Val P@R0.9: 0.8586
Epoch 0191 | Time: 33.0s | Val P@R0.9: 0.8480
Epoch 0192 | Time: 43.7s | Val P@R0.9: 0.8547
Epoch 0193 | Time: 40.5s | Val P@R0.9: 0.8552
Epoch 0194 | Time: 43.4s | Val P@R0.9: 0.8407
Epoch 0195 | Time: 39.4s | Val P@R0.9: 0.8258
Epoch 0196 | Time: 42.7s | Val P@R0.9: 0.8732
Epoch 0197 | Time: 40.6s | Val P@R0.9: 0.8329
Epoch 0198 | Time: 47.1s | Val P@R0.9: 0.8456
Epoch 0199 | Time: 41.0s | Val P@R0.9: 0.8771
Epoch 0200 | Time: 43.3s | Val P@R0.9: 0.8535
Epoch 0201 | Time: 40.0s | Val P@R0.9: 0.8497
Epoch 0202 | Time: 43.0s | Val P@R0.9: 0.8343
Epoch 0203 | Time: 39.5s | Val P@R0.9: 0.8470
Epoch 0204 | Time: 41.8s | Val P@R0.9: 0.8488
Epoch 0205 | Time: 41.6s | Val P@R0.9: 0.8515
Epoch 0206 | Time: 41.4s | Val P@R0.9: 0.8338
Epoch 0207 | Time: 43.0s | Val P@R0.9: 0.8498
Epoch 0208 | Time: 31.1s | Val P@R0.9: 0.8507
Epoch 0209 | Time: 55.3s | Val P@R0.9: 0.8346
Epoch 0210 | Time: 33.4s | Val P@R0.9: 0.8530
Epoch 0211 | Time: 50.5s | Val P@R0.9: 0.8225
Epoch 0212 | Time: 32.4s | Val P@R0.9: 0.8281
Epoch 0213 | Time: 49.1s | Val P@R0.9: 0.8546
Epoch 0214 | Time: 33.7s | Val P@R0.9: 0.8382
Epoch 0215 | Time: 58.2s | Val P@R0.9: 0.8493
Epoch 0216 | Time: 32.5s | Val P@R0.9: 0.8628
Epoch 0217 | Time: 57.3s | Val P@R0.9: 0.8650
Epoch 0218 | Time: 32.4s | Val P@R0.9: 0.8367
Epoch 0219 | Time: 51.1s | Val P@R0.9: 0.8634
Epoch 0220 | Time: 31.0s | Val P@R0.9: 0.8512
Epoch 0221 | Time: 52.0s | Val P@R0.9: 0.8539
Epoch 0222 | Time: 32.4s | Val P@R0.9: 0.8406
Epoch 0223 | Time: 57.4s | Val P@R0.9: 0.8536
Epoch 0224 | Time: 32.2s | Val P@R0.9: 0.8555
Epoch 0225 | Time: 55.7s | Val P@R0.9: 0.8452
Epoch 0226 | Time: 31.2s | Val P@R0.9: 0.8851
Epoch 0227 | Time: 57.6s | Val P@R0.9: 0.8767
Epoch 0228 | Time: 31.0s | Val P@R0.9: 0.8641
Epoch 0229 | Time: 61.3s | Val P@R0.9: 0.8424
Epoch 0230 | Time: 32.1s | Val P@R0.9: 0.8568
Epoch 0231 | Time: 53.0s | Val P@R0.9: 0.8461
Epoch 0232 | Time: 32.4s | Val P@R0.9: 0.8698
Epoch 0233 | Time: 40.7s | Val P@R0.9: 0.8702
Epoch 0234 | Time: 39.9s | Val P@R0.9: 0.8274
Epoch 0235 | Time: 44.2s | Val P@R0.9: 0.8608
Epoch 0236 | Time: 39.4s | Val P@R0.9: 0.8571
Epoch 0237 | Time: 44.2s | Val P@R0.9: 0.8564
Epoch 0238 | Time: 40.4s | Val P@R0.9: 0.8594
Epoch 0239 | Time: 43.5s | Val P@R0.9: 0.8723
Epoch 0240 | Time: 42.1s | Val P@R0.9: 0.8478
Epoch 0241 | Time: 48.2s | Val P@R0.9: 0.8453
Epoch 0242 | Time: 39.2s | Val P@R0.9: 0.8425
Epoch 0243 | Time: 45.9s | Val P@R0.9: 0.8726
Epoch 0244 | Time: 43.0s | Val P@R0.9: 0.8727
Epoch 0245 | Time: 45.5s | Val P@R0.9: 0.8814
Epoch 0246 | Time: 38.9s | Val P@R0.9: 0.8819
Epoch 0247 | Time: 45.9s | Val P@R0.9: 0.8332
Epoch 0248 | Time: 43.3s | Val P@R0.9: 0.8596
Epoch 0249 | Time: 45.9s | Val P@R0.9: 0.8629
Epoch 0250 | Time: 44.4s | Val P@R0.9: 0.8471
Epoch 0251 | Time: 31.7s | Val P@R0.9: 0.8446
Epoch 0252 | Time: 56.3s | Val P@R0.9: 0.8579
Epoch 0253 | Time: 31.6s | Val P@R0.9: 0.8603
Epoch 0254 | Time: 58.7s | Val P@R0.9: 0.8465
Epoch 0255 | Time: 31.2s | Val P@R0.9: 0.8590
Epoch 0256 | Time: 58.1s | Val P@R0.9: 0.8706
Epoch 0257 | Time: 32.7s | Val P@R0.9: 0.8466
Epoch 0258 | Time: 60.7s | Val P@R0.9: 0.8610
Epoch 0259 | Time: 31.8s | Val P@R0.9: 0.8618
Epoch 0260 | Time: 63.3s | Val P@R0.9: 0.8491
Epoch 0261 | Time: 32.4s | Val P@R0.9: 0.8630
Epoch 0262 | Time: 51.1s | Val P@R0.9: 0.8424
