Device: cuda | Experiment: Causal Graph 5ns | Events: 100000
Epoch 023 | Time: 147.1s | LR: 2.00e-04 | T-Loss: 0.1519 | V-Loss: 0.1507 | T-Prec: 0.7155 | V-Prec: 0.7176 | T-Rec: 0.3275 | V-Rec: 0.3184 | T-P@R0.9: 0.2359 | V-P@R0.9: 0.2274
Epoch 024 | Time: 148.8s | LR: 2.00e-04 | T-Loss: 0.1539 | V-Loss: 0.1525 | T-Prec: 0.7200 | V-Prec: 0.7231 | T-Rec: 0.3147 | V-Rec: 0.3040 | T-P@R0.9: 0.2339 | V-P@R0.9: 0.2247
Epoch 025 | Time: 151.9s | LR: 2.00e-04 | T-Loss: 0.1506 | V-Loss: 0.1491 | T-Prec: 0.7236 | V-Prec: 0.7278 | T-Rec: 0.3224 | V-Rec: 0.3148 | T-P@R0.9: 0.2390 | V-P@R0.9: 0.2311
Epoch 026 | Time: 150.6s | LR: 2.00e-04 | T-Loss: 0.1497 | V-Loss: 0.1485 | T-Prec: 0.7252 | V-Prec: 0.7287 | T-Rec: 0.3299 | V-Rec: 0.3206 | T-P@R0.9: 0.2423 | V-P@R0.9: 0.2325
Epoch 027 | Time: 150.5s | LR: 2.00e-04 | T-Loss: 0.1494 | V-Loss: 0.1484 | T-Prec: 0.7226 | V-Prec: 0.7237 | T-Rec: 0.3367 | V-Rec: 0.3260 | T-P@R0.9: 0.2446 | V-P@R0.9: 0.2346
Epoch 028 | Time: 144.6s | LR: 2.00e-04 | T-Loss: 0.1485 | V-Loss: 0.1473 | T-Prec: 0.6986 | V-Prec: 0.7021 | T-Rec: 0.3925 | V-Rec: 0.3823 | T-P@R0.9: 0.2443 | V-P@R0.9: 0.2358
Epoch 029 | Time: 145.7s | LR: 2.00e-04 | T-Loss: 0.1483 | V-Loss: 0.1472 | T-Prec: 0.7162 | V-Prec: 0.7192 | T-Rec: 0.3587 | V-Rec: 0.3469 | T-P@R0.9: 0.2467 | V-P@R0.9: 0.2371
Epoch 030 | Time: 148.7s | LR: 2.00e-04 | T-Loss: 0.1484 | V-Loss: 0.1476 | T-Prec: 0.6933 | V-Prec: 0.6943 | T-Rec: 0.3955 | V-Rec: 0.3844 | T-P@R0.9: 0.2474 | V-P@R0.9: 0.2381
Epoch 031 | Time: 153.8s | LR: 2.00e-04 | T-Loss: 0.1485 | V-Loss: 0.1473 | T-Prec: 0.7382 | V-Prec: 0.7430 | T-Rec: 0.3196 | V-Rec: 0.3092 | T-P@R0.9: 0.2504 | V-P@R0.9: 0.2409
Epoch 032 | Time: 143.5s | LR: 2.00e-04 | T-Loss: 0.1469 | V-Loss: 0.1460 | T-Prec: 0.7086 | V-Prec: 0.7084 | T-Rec: 0.3915 | V-Rec: 0.3799 | T-P@R0.9: 0.2498 | V-P@R0.9: 0.2398
Epoch 033 | Time: 149.3s | LR: 2.00e-04 | T-Loss: 0.1461 | V-Loss: 0.1448 | T-Prec: 0.7167 | V-Prec: 0.7198 | T-Rec: 0.3804 | V-Rec: 0.3704 | T-P@R0.9: 0.2516 | V-P@R0.9: 0.2428
Epoch 034 | Time: 146.3s | LR: 2.00e-04 | T-Loss: 0.1453 | V-Loss: 0.1444 | T-Prec: 0.7063 | V-Prec: 0.7045 | T-Rec: 0.4073 | V-Rec: 0.3945 | T-P@R0.9: 0.2540 | V-P@R0.9: 0.2450
Epoch 035 | Time: 146.8s | LR: 2.00e-04 | T-Loss: 0.1449 | V-Loss: 0.1440 | T-Prec: 0.7282 | V-Prec: 0.7256 | T-Rec: 0.3816 | V-Rec: 0.3693 | T-P@R0.9: 0.2547 | V-P@R0.9: 0.2446
Epoch 036 | Time: 150.8s | LR: 2.00e-04 | T-Loss: 0.1445 | V-Loss: 0.1438 | T-Prec: 0.7204 | V-Prec: 0.7183 | T-Rec: 0.3887 | V-Rec: 0.3748 | T-P@R0.9: 0.2595 | V-P@R0.9: 0.2496
Epoch 037 | Time: 146.7s | LR: 2.00e-04 | T-Loss: 0.1443 | V-Loss: 0.1434 | T-Prec: 0.7460 | V-Prec: 0.7435 | T-Rec: 0.3379 | V-Rec: 0.3268 | T-P@R0.9: 0.2611 | V-P@R0.9: 0.2504
Epoch 038 | Time: 152.0s | LR: 2.00e-04 | T-Loss: 0.1434 | V-Loss: 0.1425 | T-Prec: 0.6962 | V-Prec: 0.6958 | T-Rec: 0.4566 | V-Rec: 0.4428 | T-P@R0.9: 0.2589 | V-P@R0.9: 0.2497
Epoch 039 | Time: 154.2s | LR: 2.00e-04 | T-Loss: 0.1432 | V-Loss: 0.1425 | T-Prec: 0.7111 | V-Prec: 0.7079 | T-Rec: 0.4345 | V-Rec: 0.4245 | T-P@R0.9: 0.2577 | V-P@R0.9: 0.2481
Epoch 040 | Time: 151.9s | LR: 2.00e-04 | T-Loss: 0.1426 | V-Loss: 0.1418 | T-Prec: 0.7304 | V-Prec: 0.7284 | T-Rec: 0.4035 | V-Rec: 0.3917 | T-P@R0.9: 0.2620 | V-P@R0.9: 0.2504
Epoch 041 | Time: 149.4s | LR: 2.00e-04 | T-Loss: 0.1426 | V-Loss: 0.1420 | T-Prec: 0.7205 | V-Prec: 0.7169 | T-Rec: 0.4074 | V-Rec: 0.3957 | T-P@R0.9: 0.2646 | V-P@R0.9: 0.2539
Epoch 042 | Time: 150.4s | LR: 2.00e-04 | T-Loss: 0.1417 | V-Loss: 0.1411 | T-Prec: 0.7369 | V-Prec: 0.7304 | T-Rec: 0.3832 | V-Rec: 0.3694 | T-P@R0.9: 0.2690 | V-P@R0.9: 0.2578
Epoch 043 | Time: 159.7s | LR: 2.00e-04 | T-Loss: 0.1413 | V-Loss: 0.1406 | T-Prec: 0.7024 | V-Prec: 0.7002 | T-Rec: 0.4555 | V-Rec: 0.4449 | T-P@R0.9: 0.2661 | V-P@R0.9: 0.2543
Epoch 044 | Time: 147.1s | LR: 2.00e-04 | T-Loss: 0.1403 | V-Loss: 0.1399 | T-Prec: 0.7165 | V-Prec: 0.7123 | T-Rec: 0.4423 | V-Rec: 0.4292 | T-P@R0.9: 0.2689 | V-P@R0.9: 0.2577
Epoch 045 | Time: 152.1s | LR: 2.00e-04 | T-Loss: 0.1404 | V-Loss: 0.1397 | T-Prec: 0.7249 | V-Prec: 0.7209 | T-Rec: 0.4201 | V-Rec: 0.4064 | T-P@R0.9: 0.2708 | V-P@R0.9: 0.2581
Epoch 046 | Time: 151.9s | LR: 2.00e-04 | T-Loss: 0.1401 | V-Loss: 0.1395 | T-Prec: 0.7210 | V-Prec: 0.7167 | T-Rec: 0.4324 | V-Rec: 0.4203 | T-P@R0.9: 0.2712 | V-P@R0.9: 0.2579
