nohup: ignoring input
Device: cuda | Experiment: Causal Graph v2 (T_CUT=3.0) | Events: 100000
Epoch 023 | Time: 149.0s | LR: 2.00e-04 | T-Loss: 0.1549 | V-Loss: 0.1536 | T-Prec: 0.6133 | V-Prec: 0.6117 | T-Rec: 0.4219 | V-Rec: 0.4220 | T-P@R0.9: 0.2199 | V-P@R0.9: 0.2111
Epoch 024 | Time: 148.0s | LR: 2.00e-04 | T-Loss: 0.1545 | V-Loss: 0.1531 | T-Prec: 0.6380 | V-Prec: 0.6329 | T-Rec: 0.3608 | V-Rec: 0.3622 | T-P@R0.9: 0.2202 | V-P@R0.9: 0.2109
Epoch 025 | Time: 153.6s | LR: 2.00e-04 | T-Loss: 0.1549 | V-Loss: 0.1534 | T-Prec: 0.6247 | V-Prec: 0.6227 | T-Rec: 0.3913 | V-Rec: 0.3878 | T-P@R0.9: 0.2182 | V-P@R0.9: 0.2083
Epoch 026 | Time: 145.1s | LR: 2.00e-04 | T-Loss: 0.1542 | V-Loss: 0.1527 | T-Prec: 0.6278 | V-Prec: 0.6258 | T-Rec: 0.3864 | V-Rec: 0.3830 | T-P@R0.9: 0.2209 | V-P@R0.9: 0.2118
Epoch 027 | Time: 150.2s | LR: 2.00e-04 | T-Loss: 0.1571 | V-Loss: 0.1561 | T-Prec: 0.5941 | V-Prec: 0.5942 | T-Rec: 0.4813 | V-Rec: 0.4791 | T-P@R0.9: 0.2211 | V-P@R0.9: 0.2118
Epoch 028 | Time: 147.1s | LR: 2.00e-04 | T-Loss: 0.1539 | V-Loss: 0.1525 | T-Prec: 0.6167 | V-Prec: 0.6148 | T-Rec: 0.4253 | V-Rec: 0.4260 | T-P@R0.9: 0.2206 | V-P@R0.9: 0.2108
Epoch 029 | Time: 139.9s | LR: 2.00e-04 | T-Loss: 0.1536 | V-Loss: 0.1522 | T-Prec: 0.6392 | V-Prec: 0.6375 | T-Rec: 0.3691 | V-Rec: 0.3660 | T-P@R0.9: 0.2219 | V-P@R0.9: 0.2122
Epoch 030 | Time: 149.6s | LR: 2.00e-04 | T-Loss: 0.1531 | V-Loss: 0.1517 | T-Prec: 0.6520 | V-Prec: 0.6467 | T-Rec: 0.3446 | V-Rec: 0.3448 | T-P@R0.9: 0.2223 | V-P@R0.9: 0.2139
Epoch 031 | Time: 150.1s | LR: 2.00e-04 | T-Loss: 0.1530 | V-Loss: 0.1515 | T-Prec: 0.6569 | V-Prec: 0.6540 | T-Rec: 0.3372 | V-Rec: 0.3329 | T-P@R0.9: 0.2235 | V-P@R0.9: 0.2141
Epoch 032 | Time: 149.3s | LR: 2.00e-04 | T-Loss: 0.1541 | V-Loss: 0.1530 | T-Prec: 0.6034 | V-Prec: 0.6004 | T-Rec: 0.4671 | V-Rec: 0.4669 | T-P@R0.9: 0.2245 | V-P@R0.9: 0.2141
Epoch 033 | Time: 146.3s | LR: 2.00e-04 | T-Loss: 0.1523 | V-Loss: 0.1510 | T-Prec: 0.6359 | V-Prec: 0.6292 | T-Rec: 0.4003 | V-Rec: 0.4007 | T-P@R0.9: 0.2250 | V-P@R0.9: 0.2159
Epoch 034 | Time: 145.3s | LR: 2.00e-04 | T-Loss: 0.1537 | V-Loss: 0.1525 | T-Prec: 0.6154 | V-Prec: 0.6136 | T-Rec: 0.4408 | V-Rec: 0.4404 | T-P@R0.9: 0.2250 | V-P@R0.9: 0.2135
Epoch 035 | Time: 151.5s | LR: 2.00e-04 | T-Loss: 0.1544 | V-Loss: 0.1528 | T-Prec: 0.6800 | V-Prec: 0.6764 | T-Rec: 0.2884 | V-Rec: 0.2836 | T-P@R0.9: 0.2245 | V-P@R0.9: 0.2150
Epoch 036 | Time: 148.5s | LR: 2.00e-04 | T-Loss: 0.1524 | V-Loss: 0.1510 | T-Prec: 0.6635 | V-Prec: 0.6634 | T-Rec: 0.3299 | V-Rec: 0.3280 | T-P@R0.9: 0.2257 | V-P@R0.9: 0.2146
Epoch 037 | Time: 149.4s | LR: 2.00e-04 | T-Loss: 0.1517 | V-Loss: 0.1504 | T-Prec: 0.6508 | V-Prec: 0.6448 | T-Rec: 0.3687 | V-Rec: 0.3678 | T-P@R0.9: 0.2271 | V-P@R0.9: 0.2161
Epoch 038 | Time: 149.6s | LR: 2.00e-04 | T-Loss: 0.1516 | V-Loss: 0.1503 | T-Prec: 0.6365 | V-Prec: 0.6332 | T-Rec: 0.4051 | V-Rec: 0.4007 | T-P@R0.9: 0.2273 | V-P@R0.9: 0.2173
Epoch 039 | Time: 142.3s | LR: 2.00e-04 | T-Loss: 0.1517 | V-Loss: 0.1502 | T-Prec: 0.6695 | V-Prec: 0.6678 | T-Rec: 0.3277 | V-Rec: 0.3244 | T-P@R0.9: 0.2279 | V-P@R0.9: 0.2180
Epoch 040 | Time: 155.5s | LR: 2.00e-04 | T-Loss: 0.1518 | V-Loss: 0.1506 | T-Prec: 0.6247 | V-Prec: 0.6212 | T-Rec: 0.4394 | V-Rec: 0.4370 | T-P@R0.9: 0.2268 | V-P@R0.9: 0.2180
Epoch 041 | Time: 145.0s | LR: 2.00e-04 | T-Loss: 0.1515 | V-Loss: 0.1502 | T-Prec: 0.6655 | V-Prec: 0.6590 | T-Rec: 0.3479 | V-Rec: 0.3443 | T-P@R0.9: 0.2266 | V-P@R0.9: 0.2173
Epoch 042 | Time: 150.9s | LR: 2.00e-04 | T-Loss: 0.1511 | V-Loss: 0.1498 | T-Prec: 0.6695 | V-Prec: 0.6640 | T-Rec: 0.3382 | V-Rec: 0.3341 | T-P@R0.9: 0.2289 | V-P@R0.9: 0.2181
Epoch 043 | Time: 152.6s | LR: 2.00e-04 | T-Loss: 0.1520 | V-Loss: 0.1509 | T-Prec: 0.6066 | V-Prec: 0.6050 | T-Rec: 0.4903 | V-Rec: 0.4857 | T-P@R0.9: 0.2277 | V-P@R0.9: 0.2182
Epoch 044 | Time: 146.1s | LR: 2.00e-04 | T-Loss: 0.1507 | V-Loss: 0.1494 | T-Prec: 0.6465 | V-Prec: 0.6395 | T-Rec: 0.3983 | V-Rec: 0.3967 | T-P@R0.9: 0.2290 | V-P@R0.9: 0.2190
Epoch 045 | Time: 150.3s | LR: 2.00e-04 | T-Loss: 0.1504 | V-Loss: 0.1491 | T-Prec: 0.6344 | V-Prec: 0.6308 | T-Rec: 0.4301 | V-Rec: 0.4280 | T-P@R0.9: 0.2298 | V-P@R0.9: 0.2193
Epoch 046 | Time: 145.8s | LR: 2.00e-04 | T-Loss: 0.1507 | V-Loss: 0.1493 | T-Prec: 0.6589 | V-Prec: 0.6574 | T-Rec: 0.3661 | V-Rec: 0.3581 | T-P@R0.9: 0.2280 | V-P@R0.9: 0.2187
Epoch 047 | Time: 145.6s | LR: 2.00e-04 | T-Loss: 0.1513 | V-Loss: 0.1500 | T-Prec: 0.6653 | V-Prec: 0.6594 | T-Rec: 0.3437 | V-Rec: 0.3418 | T-P@R0.9: 0.2266 | V-P@R0.9: 0.2154
Epoch 048 | Time: 146.4s | LR: 2.00e-04 | T-Loss: 0.1505 | V-Loss: 0.1491 | T-Prec: 0.6805 | V-Prec: 0.6769 | T-Rec: 0.3240 | V-Rec: 0.3181 | T-P@R0.9: 0.2315 | V-P@R0.9: 0.2222
Epoch 049 | Time: 151.7s | LR: 2.00e-04 | T-Loss: 0.1511 | V-Loss: 0.1501 | T-Prec: 0.6163 | V-Prec: 0.6121 | T-Rec: 0.4810 | V-Rec: 0.4785 | T-P@R0.9: 0.2297 | V-P@R0.9: 0.2201
Epoch 050 | Time: 144.9s | LR: 2.00e-04 | T-Loss: 0.1509 | V-Loss: 0.1496 | T-Prec: 0.6572 | V-Prec: 0.6547 | T-Rec: 0.3724 | V-Rec: 0.3690 | T-P@R0.9: 0.2277 | V-P@R0.9: 0.2198
Epoch 051 | Time: 148.1s | LR: 2.00e-04 | T-Loss: 0.1495 | V-Loss: 0.1483 | T-Prec: 0.6517 | V-Prec: 0.6463 | T-Rec: 0.4023 | V-Rec: 0.3989 | T-P@R0.9: 0.2313 | V-P@R0.9: 0.2215
Epoch 052 | Time: 153.4s | LR: 2.00e-04 | T-Loss: 0.1498 | V-Loss: 0.1484 | T-Prec: 0.6408 | V-Prec: 0.6389 | T-Rec: 0.4295 | V-Rec: 0.4293 | T-P@R0.9: 0.2297 | V-P@R0.9: 0.2222
Epoch 053 | Time: 148.0s | LR: 2.00e-04 | T-Loss: 0.1491 | V-Loss: 0.1479 | T-Prec: 0.6478 | V-Prec: 0.6450 | T-Rec: 0.4081 | V-Rec: 0.4049 | T-P@R0.9: 0.2333 | V-P@R0.9: 0.2235
Epoch 054 | Time: 149.6s | LR: 2.00e-04 | T-Loss: 0.1497 | V-Loss: 0.1488 | T-Prec: 0.6193 | V-Prec: 0.6163 | T-Rec: 0.4772 | V-Rec: 0.4729 | T-P@R0.9: 0.2332 | V-P@R0.9: 0.2231
