Device: cuda | MLP-BYPASS STUDY | GCN 5Layer
Epoch 0025 | Time: 43.1s | T-Loss: 0.0738 | V-Loss: 0.0713 | T-Prec: 0.8556 | V-Prec: 0.8332 | T-Rec: 0.7592 | V-Rec: 0.7160 | T-P@R0.9: 0.5917 | V-P@R0.9: 0.4667
Epoch 0026 | Time: 47.2s | T-Loss: 0.0724 | V-Loss: 0.0700 | T-Prec: 0.8492 | V-Prec: 0.8282 | T-Rec: 0.7618 | V-Rec: 0.7293 | T-P@R0.9: 0.5893 | V-P@R0.9: 0.4855
Epoch 0027 | Time: 45.0s | T-Loss: 0.0745 | V-Loss: 0.0702 | T-Prec: 0.8613 | V-Prec: 0.8342 | T-Rec: 0.7711 | V-Rec: 0.7228 | T-P@R0.9: 0.6214 | V-P@R0.9: 0.4772
Epoch 0028 | Time: 43.5s | T-Loss: 0.0721 | V-Loss: 0.0694 | T-Prec: 0.8435 | V-Prec: 0.8206 | T-Rec: 0.7801 | V-Rec: 0.7439 | T-P@R0.9: 0.6078 | V-P@R0.9: 0.4991
Epoch 0029 | Time: 44.4s | T-Loss: 0.0735 | V-Loss: 0.0689 | T-Prec: 0.8687 | V-Prec: 0.8389 | T-Rec: 0.7675 | V-Rec: 0.7268 | T-P@R0.9: 0.6317 | V-P@R0.9: 0.4913
Epoch 0030 | Time: 47.0s | T-Loss: 0.0711 | V-Loss: 0.0685 | T-Prec: 0.8669 | V-Prec: 0.8396 | T-Rec: 0.7702 | V-Rec: 0.7266 | T-P@R0.9: 0.6305 | V-P@R0.9: 0.4944
Epoch 0031 | Time: 46.9s | T-Loss: 0.0718 | V-Loss: 0.0676 | T-Prec: 0.8720 | V-Prec: 0.8445 | T-Rec: 0.7735 | V-Rec: 0.7277 | T-P@R0.9: 0.6455 | V-P@R0.9: 0.5034
Epoch 0032 | Time: 44.0s | T-Loss: 0.0731 | V-Loss: 0.0683 | T-Prec: 0.8743 | V-Prec: 0.8484 | T-Rec: 0.7626 | V-Rec: 0.7201 | T-P@R0.9: 0.6447 | V-P@R0.9: 0.5011
Epoch 0033 | Time: 52.3s | T-Loss: 0.0731 | V-Loss: 0.0683 | T-Prec: 0.8549 | V-Prec: 0.8308 | T-Rec: 0.7805 | V-Rec: 0.7405 | T-P@R0.9: 0.6366 | V-P@R0.9: 0.5030
Epoch 0034 | Time: 46.2s | T-Loss: 0.0723 | V-Loss: 0.0676 | T-Prec: 0.8509 | V-Prec: 0.8254 | T-Rec: 0.7873 | V-Rec: 0.7528 | T-P@R0.9: 0.6312 | V-P@R0.9: 0.5175
