2026/03/28 10:54:28.168,0,NVIDIA GeForce RTX 4090,94,74,9298,24564,54,381.67
2026/03/28 10:54:28.176,1,NVIDIA GeForce RTX 4080,0,1,2,16376,45,35.45
2026/03/28 10:54:29.228,0,NVIDIA GeForce RTX 4090,95,76,9298,24564,55,383.58
2026/03/28 10:54:29.237,1,NVIDIA GeForce RTX 4080,0,1,2,16376,45,35.46
2026/03/28 10:54:30.291,0,NVIDIA GeForce RTX 4090,94,75,9298,24564,56,382.35
2026/03/28 10:54:30.297,1,NVIDIA GeForce RTX 4080,0,1,2,16376,45,35.37
2026/03/28 10:54:31.348,0,NVIDIA GeForce RTX 4090,94,75,9298,24564,57,383.41
2026/03/28 10:54:31.354,1,NVIDIA GeForce RTX 4080,0,1,2,16376,45,35.29
2026/03/28 10:54:32.405,0,NVIDIA GeForce RTX 4090,94,73,9298,24564,57,381.68
2026/03/28 10:54:32.411,1,NVIDIA GeForce RTX 4080,0,1,2,16376,45,35.12
2026/03/28 10:54:33.464,0,NVIDIA GeForce RTX 4090,94,72,9298,24564,55,382.79
2026/03/28 10:54:33.472,1,NVIDIA GeForce RTX 4080,0,1,2,16376,45,35.16
2026/03/28 10:54:34.526,0,NVIDIA GeForce RTX 4090,0,0,9298,24564,47,296.19
2026/03/28 10:54:34.531,1,NVIDIA GeForce RTX 4080,0,1,2,16376,45,35.01
2026/03/28 10:54:35.583,0,NVIDIA GeForce RTX 4090,0,0,9298,24564,46,131.91
2026/03/28 10:54:35.587,1,NVIDIA GeForce RTX 4080,0,1,2,16376,45,34.67
2026/03/28 10:54:36.638,0,NVIDIA GeForce RTX 4090,0,0,9298,24564,45,81.36
2026/03/28 10:54:36.642,1,NVIDIA GeForce RTX 4080,0,1,2,16376,45,34.58
2026/03/28 10:54:37.694,0,NVIDIA GeForce RTX 4090,0,0,9298,24564,44,76.69
2026/03/28 10:54:37.698,1,NVIDIA GeForce RTX 4080,0,1,2,16376,45,34.66
2026/03/28 10:54:38.749,0,NVIDIA GeForce RTX 4090,0,0,9298,24564,44,72.15
2026/03/28 10:54:38.753,1,NVIDIA GeForce RTX 4080,0,1,2,16376,45,34.38
2026/03/28 10:54:39.804,0,NVIDIA GeForce RTX 4090,0,0,9298,24564,44,71.89
2026/03/28 10:54:39.808,1,NVIDIA GeForce RTX 4080,0,1,2,16376,45,34.18
2026/03/28 10:54:40.859,0,NVIDIA GeForce RTX 4090,0,0,9298,24564,44,71.67
2026/03/28 10:54:40.864,1,NVIDIA GeForce RTX 4080,0,1,2,16376,45,34.10
2026/03/28 10:54:41.915,0,NVIDIA GeForce RTX 4090,0,0,9298,24564,43,71.62
2026/03/28 10:54:41.919,1,NVIDIA GeForce RTX 4080,0,1,2,16376,45,33.95
2026/03/28 10:54:42.971,0,NVIDIA GeForce RTX 4090,0,0,9298,24564,43,71.46
2026/03/28 10:54:42.975,1,NVIDIA GeForce RTX 4080,0,1,2,16376,45,34.10
2026/03/28 10:54:44.025,0,NVIDIA GeForce RTX 4090,0,0,9298,24564,43,71.28
2026/03/28 10:54:44.030,1,NVIDIA GeForce RTX 4080,0,1,2,16376,45,34.36
2026/03/28 10:54:45.082,0,NVIDIA GeForce RTX 4090,0,0,9298,24564,46,71.11
2026/03/28 10:54:45.091,1,NVIDIA GeForce RTX 4080,0,1,2,16376,45,34.59
2026/03/28 10:54:46.144,0,NVIDIA GeForce RTX 4090,0,0,9298,24564,43,75.07
2026/03/28 10:54:46.149,1,NVIDIA GeForce RTX 4080,0,1,2,16376,45,34.85
2026/03/28 10:54:47.200,0,NVIDIA GeForce RTX 4090,0,0,9298,24564,43,70.53
2026/03/28 10:54:47.205,1,NVIDIA GeForce RTX 4080,0,1,2,16376,45,34.83
2026/03/28 10:54:48.257,0,NVIDIA GeForce RTX 4090,0,0,9298,24564,42,70.46
2026/03/28 10:54:48.261,1,NVIDIA GeForce RTX 4080,0,1,2,16376,45,34.80
