Timestamp, GPU_ID, Temp, Power, Usage, Mem_Used
2026/03/18 20:35:10.100, 0, 44, 26.53, 0, 2
2026/03/18 20:35:10.106, 1, 41, 34.99, 0, 2
2026/03/18 20:35:27.728, 0, 44, 26.39, 0, 2
2026/03/18 20:35:27.733, 1, 41, 34.55, 0, 2
2026/03/18 20:35:40.159, 0, 47, 218.80, 0, 2636
2026/03/18 20:35:40.165, 1, 41, 34.83, 0, 2
2026/03/18 20:35:57.785, 0, 49, 82.70, 0, 4224
2026/03/18 20:35:57.790, 1, 41, 34.24, 0, 2
2026/03/18 20:36:10.219, 0, 49, 271.71, 0, 4224
2026/03/18 20:36:10.225, 1, 41, 35.31, 0, 2
2026/03/18 20:36:27.840, 0, 45, 131.00, 0, 9566
2026/03/18 20:36:27.846, 1, 41, 35.14, 0, 2
2026/03/18 20:36:40.278, 0, 43, 80.67, 0, 9566
2026/03/18 20:36:40.284, 1, 41, 33.74, 0, 2
2026/03/18 20:36:57.897, 0, 49, 166.83, 86, 9566
2026/03/18 20:36:57.907, 1, 41, 32.66, 0, 2
2026/03/18 20:37:10.333, 0, 47, 119.04, 42, 9566
2026/03/18 20:37:10.343, 1, 41, 33.43, 0, 2
2026/03/18 20:37:27.959, 0, 41, 213.35, 0, 9566
2026/03/18 20:37:27.963, 1, 41, 34.55, 0, 2
2026/03/18 20:37:40.393, 0, 39, 79.06, 0, 9566
2026/03/18 20:37:40.398, 1, 41, 33.94, 0, 2
2026/03/18 20:37:58.012, 0, 39, 113.12, 0, 9566
2026/03/18 20:37:58.017, 1, 41, 34.90, 0, 2
2026/03/18 20:38:10.449, 0, 47, 171.80, 86, 9566
2026/03/18 20:38:10.460, 1, 41, 34.17, 0, 2
2026/03/18 20:38:28.070, 0, 39, 301.59, 35, 9566
2026/03/18 20:38:28.075, 1, 41, 35.00, 0, 2
2026/03/18 20:38:40.514, 0, 39, 237.09, 0, 9566
2026/03/18 20:38:40.519, 1, 41, 34.93, 0, 2
2026/03/18 20:38:58.127, 0, 37, 78.56, 0, 9566
2026/03/18 20:38:58.133, 1, 41, 33.85, 0, 2
2026/03/18 20:39:10.572, 0, 37, 78.03, 0, 9566
2026/03/18 20:39:10.581, 1, 41, 33.81, 0, 2
2026/03/18 20:39:28.183, 0, 37, 113.27, 0, 9566
2026/03/18 20:39:28.189, 1, 41, 33.84, 0, 2
2026/03/18 20:39:40.631, 0, 43, 119.79, 5, 9566
2026/03/18 20:39:40.640, 1, 41, 33.56, 0, 2
2026/03/18 20:39:58.238, 0, 44, 348.51, 86, 9566
2026/03/18 20:39:58.247, 1, 41, 34.15, 0, 2
2026/03/18 20:40:10.691, 0, 45, 321.39, 85, 9566
2026/03/18 20:40:10.703, 1, 41, 34.14, 0, 2
2026/03/18 20:40:28.298, 0, 37, 149.06, 0, 9566
2026/03/18 20:40:28.303, 1, 41, 33.90, 0, 2
2026/03/18 20:40:40.755, 0, 45, 187.03, 88, 9566
2026/03/18 20:40:40.763, 1, 41, 34.02, 0, 2
2026/03/18 20:40:58.353, 0, 37, 106.78, 0, 9566
2026/03/18 20:40:58.359, 1, 40, 33.52, 0, 2
2026/03/18 20:41:10.814, 0, 37, 104.41, 0, 9566
2026/03/18 20:41:10.819, 1, 41, 34.68, 0, 2
2026/03/18 20:41:28.411, 0, 37, 110.39, 0, 9566
2026/03/18 20:41:28.417, 1, 40, 33.78, 0, 2
2026/03/18 20:41:40.871, 0, 36, 79.05, 0, 9566
2026/03/18 20:41:40.877, 1, 40, 34.71, 0, 2
2026/03/18 20:41:58.468, 0, 37, 106.07, 0, 9566
2026/03/18 20:41:58.474, 1, 40, 34.42, 0, 2
2026/03/18 20:42:10.926, 0, 44, 218.13, 83, 9566
2026/03/18 20:42:10.937, 1, 40, 34.23, 0, 2
2026/03/18 20:42:28.527, 0, 36, 122.19, 0, 9566
2026/03/18 20:42:28.531, 1, 40, 35.06, 0, 2
2026/03/18 20:42:40.989, 0, 44, 119.25, 89, 9566
2026/03/18 20:42:40.998, 1, 40, 33.88, 0, 2
2026/03/18 20:42:58.584, 0, 38, 322.51, 77, 9566
2026/03/18 20:42:58.592, 1, 40, 34.61, 0, 2
2026/03/18 20:43:11.051, 0, 36, 126.46, 0, 9566
2026/03/18 20:43:11.056, 1, 40, 34.32, 0, 2
2026/03/18 20:43:28.644, 0, 36, 77.78, 0, 9566
2026/03/18 20:43:28.649, 1, 40, 33.62, 0, 2
2026/03/18 20:43:41.107, 0, 37, 173.76, 38, 9566
2026/03/18 20:43:41.113, 1, 40, 34.28, 0, 2
2026/03/18 20:43:58.702, 0, 37, 125.59, 0, 9566
2026/03/18 20:43:58.709, 1, 40, 35.29, 0, 2
2026/03/18 20:44:11.166, 0, 37, 112.55, 0, 9566
2026/03/18 20:44:11.172, 1, 40, 34.65, 0, 2
2026/03/18 20:44:28.761, 0, 36, 105.79, 0, 9566
2026/03/18 20:44:28.767, 1, 40, 34.79, 0, 2
2026/03/18 20:44:41.225, 0, 43, 201.17, 88, 9566
2026/03/18 20:44:41.235, 1, 40, 34.64, 0, 2
2026/03/18 20:44:58.821, 0, 37, 316.47, 63, 9566
2026/03/18 20:44:58.825, 1, 40, 34.71, 0, 2
2026/03/18 20:45:11.286, 0, 37, 297.82, 0, 9566
2026/03/18 20:45:11.292, 1, 40, 35.35, 0, 2
2026/03/18 20:45:28.876, 0, 36, 126.67, 0, 9566
2026/03/18 20:45:28.881, 1, 40, 35.03, 0, 2
2026/03/18 20:45:41.340, 0, 36, 121.57, 0, 9566
2026/03/18 20:45:41.345, 1, 40, 34.25, 0, 2
2026/03/18 20:45:58.930, 0, 35, 79.37, 0, 9566
2026/03/18 20:45:58.936, 1, 40, 33.74, 0, 2
2026/03/18 20:46:11.396, 0, 36, 138.70, 10, 9566
2026/03/18 20:46:11.402, 1, 40, 34.61, 0, 2
2026/03/18 20:46:28.988, 0, 45, 225.49, 87, 9566
2026/03/18 20:46:28.996, 1, 40, 34.70, 0, 2
2026/03/18 20:46:41.452, 0, 43, 207.57, 82, 9566
2026/03/18 20:46:41.466, 1, 40, 34.76, 0, 2
2026/03/18 20:46:59.047, 0, 40, 245.05, 58, 9566
2026/03/18 20:46:59.059, 1, 40, 34.51, 0, 2
2026/03/18 20:47:11.515, 0, 36, 114.10, 0, 9566
2026/03/18 20:47:11.521, 1, 40, 34.38, 0, 2
2026/03/18 20:47:29.107, 0, 35, 77.59, 0, 9566
2026/03/18 20:47:29.112, 1, 40, 33.86, 0, 2
2026/03/18 20:47:41.572, 0, 35, 77.56, 0, 9566
2026/03/18 20:47:41.576, 1, 40, 34.34, 0, 2
2026/03/18 20:47:59.162, 0, 43, 164.45, 81, 9566
2026/03/18 20:47:59.170, 1, 40, 34.59, 0, 2
2026/03/18 20:48:11.628, 0, 43, 207.35, 81, 9566
2026/03/18 20:48:11.676, 1, 40, 34.38, 0, 2
2026/03/18 20:48:29.222, 0, 35, 68.25, 0, 9566
2026/03/18 20:48:29.228, 1, 40, 34.24, 0, 4
2026/03/18 20:48:41.724, 0, 41, 118.95, 55, 9566
2026/03/18 20:48:41.733, 1, 56, 136.10, 94, 3518
2026/03/18 20:48:59.279, 0, 35, 76.93, 0, 9566
2026/03/18 20:48:59.285, 1, 45, 129.92, 0, 5110
2026/03/18 20:49:11.792, 0, 34, 77.13, 0, 9566
2026/03/18 20:49:11.798, 1, 44, 106.23, 0, 5914
2026/03/18 20:49:29.336, 0, 35, 297.91, 53, 9566
2026/03/18 20:49:29.343, 1, 57, 288.41, 94, 6722
2026/03/18 20:49:41.849, 0, 34, 105.95, 0, 9566
2026/03/18 20:49:41.855, 1, 42, 90.21, 0, 12062
2026/03/18 20:49:59.399, 0, 34, 78.07, 0, 9566
2026/03/18 20:49:59.406, 1, 41, 107.25, 0, 12062
2026/03/18 20:50:11.891, 0, 34, 67.53, 0, 9566
2026/03/18 20:50:11.897, 1, 40, 54.35, 0, 12062
2026/03/18 20:50:29.460, 0, 34, 77.20, 0, 9566
2026/03/18 20:50:29.464, 1, 40, 103.07, 0, 12062
2026/03/18 20:50:41.946, 0, 42, 178.45, 88, 9566
2026/03/18 20:50:41.954, 1, 50, 142.61, 63, 12064
2026/03/18 20:50:59.516, 0, 40, 128.69, 53, 9566
2026/03/18 20:50:59.524, 1, 40, 106.11, 0, 12064
2026/03/18 20:51:12.008, 0, 41, 212.21, 79, 9566
2026/03/18 20:51:12.020, 1, 42, 205.19, 0, 12064
2026/03/18 20:51:29.572, 0, 33, 72.90, 0, 9566
2026/03/18 20:51:29.578, 1, 38, 59.17, 0, 12064
2026/03/18 20:51:42.074, 0, 33, 78.69, 0, 9566
2026/03/18 20:51:42.079, 1, 39, 89.17, 0, 12064
2026/03/18 20:51:59.629, 0, 39, 172.40, 80, 9566
2026/03/18 20:51:59.637, 1, 48, 77.29, 65, 12064
2026/03/18 20:52:12.133, 0, 33, 72.71, 0, 9566
2026/03/18 20:52:12.139, 1, 39, 90.03, 0, 12064
2026/03/18 20:52:29.692, 0, 33, 67.21, 0, 9566
2026/03/18 20:52:29.698, 1, 38, 64.50, 0, 12064
2026/03/18 20:52:42.190, 0, 35, 240.72, 0, 9566
2026/03/18 20:52:42.195, 1, 53, 279.81, 94, 12064
2026/03/18 20:52:59.751, 0, 33, 72.07, 0, 9566
2026/03/18 20:52:59.757, 1, 38, 73.72, 0, 12064
2026/03/18 20:53:12.252, 0, 34, 124.91, 0, 9566
2026/03/18 20:53:12.258, 1, 50, 147.32, 89, 12064
2026/03/18 20:53:29.811, 0, 34, 238.10, 0, 9566
2026/03/18 20:53:29.816, 1, 51, 275.92, 90, 12064
2026/03/18 20:53:42.316, 0, 40, 110.27, 77, 9566
2026/03/18 20:53:42.326, 1, 52, 170.78, 88, 12064
2026/03/18 20:53:59.869, 0, 41, 121.15, 73, 9566
2026/03/18 20:53:59.880, 1, 39, 130.81, 6, 12064
2026/03/18 20:54:12.379, 0, 34, 112.47, 0, 9566
