Device: cuda | GCN Back to Basics (k=2) | Events: 100000
Starting training...
Epoch 023 | Time: 46.9s | LR: 2.00e-04 | T-Loss: 0.0933 | V-Loss: 0.0926 | T-Prec: 0.8317 | V-Prec: 0.8254 | T-Rec: 0.6497 | V-Rec: 0.6470 | T-P@R0.9: 0.4744 | V-P@R0.9: 0.4680
Epoch 024 | Time: 46.8s | LR: 2.00e-04 | T-Loss: 0.0919 | V-Loss: 0.0913 | T-Prec: 0.8128 | V-Prec: 0.8064 | T-Rec: 0.6861 | V-Rec: 0.6821 | T-P@R0.9: 0.4796 | V-P@R0.9: 0.4732
Epoch 025 | Time: 47.5s | LR: 2.00e-04 | T-Loss: 0.0916 | V-Loss: 0.0910 | T-Prec: 0.8370 | V-Prec: 0.8310 | T-Rec: 0.6569 | V-Rec: 0.6537 | T-P@R0.9: 0.4841 | V-P@R0.9: 0.4758
Epoch 026 | Time: 47.0s | LR: 2.00e-04 | T-Loss: 0.0911 | V-Loss: 0.0905 | T-Prec: 0.8155 | V-Prec: 0.8076 | T-Rec: 0.6913 | V-Rec: 0.6866 | T-P@R0.9: 0.4836 | V-P@R0.9: 0.4784
Epoch 027 | Time: 47.0s | LR: 2.00e-04 | T-Loss: 0.0908 | V-Loss: 0.0902 | T-Prec: 0.8318 | V-Prec: 0.8260 | T-Rec: 0.6690 | V-Rec: 0.6645 | T-P@R0.9: 0.4878 | V-P@R0.9: 0.4819
Epoch 028 | Time: 47.3s | LR: 2.00e-04 | T-Loss: 0.0907 | V-Loss: 0.0902 | T-Prec: 0.8503 | V-Prec: 0.8438 | T-Rec: 0.6488 | V-Rec: 0.6431 | T-P@R0.9: 0.4945 | V-P@R0.9: 0.4865
Epoch 029 | Time: 46.8s | LR: 2.00e-04 | T-Loss: 0.0897 | V-Loss: 0.0891 | T-Prec: 0.8400 | V-Prec: 0.8345 | T-Rec: 0.6658 | V-Rec: 0.6615 | T-P@R0.9: 0.5011 | V-P@R0.9: 0.4926
Epoch 030 | Time: 47.0s | LR: 2.00e-04 | T-Loss: 0.0894 | V-Loss: 0.0893 | T-Prec: 0.8137 | V-Prec: 0.8071 | T-Rec: 0.7074 | V-Rec: 0.7007 | T-P@R0.9: 0.5018 | V-P@R0.9: 0.4913
Epoch 031 | Time: 47.3s | LR: 2.00e-04 | T-Loss: 0.0888 | V-Loss: 0.0885 | T-Prec: 0.8127 | V-Prec: 0.8051 | T-Rec: 0.7122 | V-Rec: 0.7060 | T-P@R0.9: 0.5024 | V-P@R0.9: 0.4946
Epoch 032 | Time: 46.8s | LR: 2.00e-04 | T-Loss: 0.0884 | V-Loss: 0.0882 | T-Prec: 0.8393 | V-Prec: 0.8326 | T-Rec: 0.6787 | V-Rec: 0.6723 | T-P@R0.9: 0.5067 | V-P@R0.9: 0.4989
Epoch 033 | Time: 47.3s | LR: 2.00e-04 | T-Loss: 0.0882 | V-Loss: 0.0879 | T-Prec: 0.8253 | V-Prec: 0.8190 | T-Rec: 0.7014 | V-Rec: 0.6957 | T-P@R0.9: 0.4984 | V-P@R0.9: 0.4916
Epoch 034 | Time: 47.0s | LR: 2.00e-04 | T-Loss: 0.0876 | V-Loss: 0.0875 | T-Prec: 0.8389 | V-Prec: 0.8303 | T-Rec: 0.6868 | V-Rec: 0.6800 | T-P@R0.9: 0.5098 | V-P@R0.9: 0.5005
Epoch 035 | Time: 46.7s | LR: 2.00e-04 | T-Loss: 0.0874 | V-Loss: 0.0874 | T-Prec: 0.8375 | V-Prec: 0.8311 | T-Rec: 0.6901 | V-Rec: 0.6831 | T-P@R0.9: 0.5120 | V-P@R0.9: 0.5043
Epoch 036 | Time: 47.0s | LR: 2.00e-04 | T-Loss: 0.0872 | V-Loss: 0.0874 | T-Prec: 0.8387 | V-Prec: 0.8314 | T-Rec: 0.6893 | V-Rec: 0.6812 | T-P@R0.9: 0.5149 | V-P@R0.9: 0.5039
Epoch 037 | Time: 47.1s | LR: 2.00e-04 | T-Loss: 0.0870 | V-Loss: 0.0869 | T-Prec: 0.8513 | V-Prec: 0.8438 | T-Rec: 0.6758 | V-Rec: 0.6676 | T-P@R0.9: 0.5175 | V-P@R0.9: 0.5073
Epoch 038 | Time: 47.1s | LR: 2.00e-04 | T-Loss: 0.0865 | V-Loss: 0.0867 | T-Prec: 0.8332 | V-Prec: 0.8259 | T-Rec: 0.7032 | V-Rec: 0.6935 | T-P@R0.9: 0.5149 | V-P@R0.9: 0.5039
Epoch 039 | Time: 46.7s | LR: 2.00e-04 | T-Loss: 0.0860 | V-Loss: 0.0863 | T-Prec: 0.8494 | V-Prec: 0.8430 | T-Rec: 0.6826 | V-Rec: 0.6743 | T-P@R0.9: 0.5237 | V-P@R0.9: 0.5113
Epoch 040 | Time: 47.1s | LR: 2.00e-04 | T-Loss: 0.0853 | V-Loss: 0.0858 | T-Prec: 0.8367 | V-Prec: 0.8292 | T-Rec: 0.7046 | V-Rec: 0.6966 | T-P@R0.9: 0.5264 | V-P@R0.9: 0.5127
Epoch 041 | Time: 47.7s | LR: 2.00e-04 | T-Loss: 0.0858 | V-Loss: 0.0863 | T-Prec: 0.8373 | V-Prec: 0.8298 | T-Rec: 0.6985 | V-Rec: 0.6884 | T-P@R0.9: 0.5284 | V-P@R0.9: 0.5176
Epoch 042 | Time: 47.3s | LR: 2.00e-04 | T-Loss: 0.0858 | V-Loss: 0.0862 | T-Prec: 0.8101 | V-Prec: 0.8027 | T-Rec: 0.7388 | V-Rec: 0.7285 | T-P@R0.9: 0.5274 | V-P@R0.9: 0.5134
Epoch 043 | Time: 47.2s | LR: 2.00e-04 | T-Loss: 0.0849 | V-Loss: 0.0856 | T-Prec: 0.8360 | V-Prec: 0.8273 | T-Rec: 0.7112 | V-Rec: 0.7003 | T-P@R0.9: 0.5292 | V-P@R0.9: 0.5121
Epoch 044 | Time: 46.9s | LR: 2.00e-04 | T-Loss: 0.0854 | V-Loss: 0.0861 | T-Prec: 0.8325 | V-Prec: 0.8231 | T-Rec: 0.7108 | V-Rec: 0.7009 | T-P@R0.9: 0.5280 | V-P@R0.9: 0.5116
Epoch 045 | Time: 47.0s | LR: 2.00e-04 | T-Loss: 0.0847 | V-Loss: 0.0855 | T-Prec: 0.8345 | V-Prec: 0.8267 | T-Rec: 0.7130 | V-Rec: 0.7018 | T-P@R0.9: 0.5310 | V-P@R0.9: 0.5140
Epoch 046 | Time: 46.9s | LR: 2.00e-04 | T-Loss: 0.0846 | V-Loss: 0.0854 | T-Prec: 0.8466 | V-Prec: 0.8377 | T-Rec: 0.6975 | V-Rec: 0.6864 | T-P@R0.9: 0.5361 | V-P@R0.9: 0.5164
