Starting FAST-INIT 18M MARATHON on cuda:0
000050 | 001 |     4.2s | 1.0e-04 | 0.4412 | 0.0914 | 0.0719 | 0.0751 | 0.2395 | 0.5781 | 0.0443 | 0.0880
000100 | 001 |    17.4s | 1.0e-04 | 0.2119 | 0.6343 | 0.0705 | 0.1335 | 0.1866 | 0.6708 | 0.1178 | 0.2087
000150 | 001 |    30.5s | 1.0e-04 | 0.1730 | 0.7080 | 0.1596 | 0.2437 | 0.1980 | 0.8081 | 0.1755 | 0.2553
000200 | 001 |    43.9s | 1.0e-04 | 0.1515 | 0.6985 | 0.2963 | 0.2875 | 0.1379 | 0.7435 | 0.3412 | 0.3168
000250 | 001 |    57.3s | 1.0e-04 | 0.1394 | 0.7154 | 0.3848 | 0.3286 | 0.1273 | 0.7284 | 0.4445 | 0.3511
000300 | 001 |    70.6s | 1.0e-04 | 0.1243 | 0.7414 | 0.4255 | 0.3505 | 0.1213 | 0.7514 | 0.4702 | 0.3691
000350 | 001 |    83.7s | 1.0e-04 | 0.1184 | 0.7551 | 0.4833 | 0.3756 | 0.1152 | 0.7527 | 0.5413 | 0.3929
000400 | 001 |    96.6s | 1.0e-04 | 0.1138 | 0.7717 | 0.5266 | 0.4009 | 0.1314 | 0.7687 | 0.5378 | 0.4138
000450 | 001 |   110.0s | 1.0e-04 | 0.1099 | 0.7928 | 0.5498 | 0.4097 | 0.1086 | 0.7443 | 0.6527 | 0.4387
000500 | 001 |   123.2s | 1.0e-04 | 0.1059 | 0.7991 | 0.5887 | 0.4364 | 0.1038 | 0.7740 | 0.6458 | 0.4488
000550 | 001 |   136.4s | 1.0e-04 | 0.1020 | 0.8036 | 0.6016 | 0.4464 | 0.1122 | 0.7819 | 0.6302 | 0.4630
000600 | 001 |   149.8s | 1.0e-04 | 0.1026 | 0.8074 | 0.6143 | 0.4548 | 0.0986 | 0.8067 | 0.6382 | 0.4705
000650 | 001 |   163.4s | 1.0e-04 | 0.1006 | 0.8087 | 0.6283 | 0.4631 | 0.1000 | 0.8461 | 0.5848 | 0.4671
000700 | 001 |   176.9s | 1.0e-04 | 0.1060 | 0.7963 | 0.6322 | 0.4649 | 0.0975 | 0.8231 | 0.6278 | 0.4769
000750 | 001 |   189.9s | 1.0e-04 | 0.0952 | 0.8181 | 0.6419 | 0.4798 | 0.0947 | 0.8260 | 0.6404 | 0.4920
000800 | 001 |   203.2s | 1.0e-04 | 0.0939 | 0.8229 | 0.6476 | 0.4848 | 0.0941 | 0.7982 | 0.6849 | 0.4972
000850 | 001 |   216.1s | 1.0e-04 | 0.0944 | 0.8166 | 0.6588 | 0.4958 | 0.0926 | 0.8181 | 0.6679 | 0.5019
000900 | 001 |   229.3s | 1.0e-04 | 0.0920 | 0.8260 | 0.6604 | 0.4972 | 0.0917 | 0.8054 | 0.6927 | 0.5091
000950 | 001 |   242.5s | 1.0e-04 | 0.0910 | 0.8250 | 0.6713 | 0.5080 | 0.0920 | 0.8333 | 0.6591 | 0.5116
001000 | 001 |   255.7s | 1.0e-04 | 0.0926 | 0.8149 | 0.6621 | 0.4967 | 0.0921 | 0.8514 | 0.6264 | 0.5127
001050 | 001 |   268.9s | 1.0e-04 | 0.0905 | 0.8225 | 0.6689 | 0.5068 | 0.0897 | 0.8364 | 0.6632 | 0.5186
001100 | 001 |   282.0s | 1.0e-04 | 0.0946 | 0.8199 | 0.6759 | 0.5051 | 0.0930 | 0.8235 | 0.6792 | 0.5050
001150 | 001 |   295.1s | 1.0e-04 | 0.0889 | 0.8279 | 0.6846 | 0.5240 | 0.0893 | 0.8316 | 0.6769 | 0.5258
001200 | 001 |   308.4s | 1.0e-04 | 0.0876 | 0.8298 | 0.6816 | 0.5161 | 0.0876 | 0.8318 | 0.6900 | 0.5315
