Starting WIDE GATv2 on cuda:0 (Batch 128)
Epoch 0001 | 10:22:41 |  20.6s | 1.0e-04 | 0.1417 | 0.7394 | 0.4935 | 0.2540 | 0.0901 | 0.8287 | 0.6141 | 0.4148
Epoch 0002 | 10:23:11 |   8.2s | 1.0e-04 | 0.0921 | 0.8418 | 0.6802 | 0.4843 | 0.0835 | 0.8083 | 0.7072 | 0.4664
Epoch 0003 | 10:23:29 |   8.1s | 1.0e-04 | 0.0816 | 0.8629 | 0.7158 | 0.5373 | 0.0761 | 0.8518 | 0.7138 | 0.5135
Epoch 0004 | 10:23:46 |   8.2s | 1.0e-04 | 0.0752 | 0.8716 | 0.7427 | 0.5882 | 0.0732 | 0.8198 | 0.7534 | 0.5207
Epoch 0005 | 10:24:04 |   8.2s | 1.0e-04 | 0.0727 | 0.8753 | 0.7545 | 0.6152 | 0.0723 | 0.8400 | 0.7490 | 0.5416
Epoch 0006 | 10:24:22 |   8.2s | 1.0e-04 | 0.0697 | 0.8794 | 0.7687 | 0.6476 | 0.0691 | 0.8453 | 0.7632 | 0.5814
Epoch 0007 | 10:24:40 |   8.2s | 1.0e-04 | 0.0686 | 0.8788 | 0.7692 | 0.6517 | 0.0676 | 0.8465 | 0.7717 | 0.5869
Epoch 0008 | 10:24:58 |  17.6s | 1.0e-04 | 0.0669 | 0.8819 | 0.7738 | 0.6607 | 0.0688 | 0.8290 | 0.7914 | 0.5917
Epoch 0009 | 10:25:25 |   8.4s | 1.0e-04 | 0.0679 | 0.8827 | 0.7820 | 0.6805 | 0.0663 | 0.8661 | 0.7728 | 0.6162
Epoch 0010 | 10:25:43 |   8.4s | 1.0e-04 | 0.0664 | 0.8841 | 0.7818 | 0.6831 | 0.0649 | 0.8470 | 0.7780 | 0.5998
Epoch 0011 | 10:26:01 |   8.4s | 1.0e-04 | 0.0654 | 0.8834 | 0.7887 | 0.6967 | 0.0649 | 0.8840 | 0.7441 | 0.6152
Epoch 0012 | 10:26:19 |   8.3s | 1.0e-04 | 0.0647 | 0.8859 | 0.7917 | 0.7049 | 0.0640 | 0.8633 | 0.7856 | 0.6462
Epoch 0013 | 10:26:37 |   8.3s | 1.0e-04 | 0.0636 | 0.8862 | 0.7958 | 0.7148 | 0.0626 | 0.8684 | 0.7873 | 0.6624
Epoch 0014 | 10:26:55 |   8.4s | 1.0e-04 | 0.0625 | 0.8869 | 0.7986 | 0.7249 | 0.0635 | 0.8409 | 0.8052 | 0.6519
Epoch 0015 | 10:27:14 |   8.4s | 1.0e-04 | 0.0620 | 0.8893 | 0.8004 | 0.7290 | 0.0619 | 0.8763 | 0.7760 | 0.6483
Epoch 0016 | 10:27:32 |  21.9s | 1.0e-04 | 0.0637 | 0.8881 | 0.8018 | 0.7325 | 0.0611 | 0.8686 | 0.7934 | 0.6664
Epoch 0017 | 10:28:03 |   8.5s | 1.0e-04 | 0.0618 | 0.8904 | 0.8091 | 0.7469 | 0.0606 | 0.8817 | 0.7847 | 0.6775
Epoch 0018 | 10:28:22 |   8.4s | 1.0e-04 | 0.0618 | 0.8917 | 0.8109 | 0.7509 | 0.0613 | 0.8483 | 0.8175 | 0.6812
Epoch 0019 | 10:28:40 |   8.4s | 1.0e-04 | 0.0616 | 0.8913 | 0.8101 | 0.7524 | 0.0604 | 0.8719 | 0.7934 | 0.6806
Epoch 0020 | 10:28:58 |   8.4s | 1.0e-04 | 0.0606 | 0.8929 | 0.8149 | 0.7597 | 0.0590 | 0.8697 | 0.8105 | 0.7089
Epoch 0021 | 10:29:16 |   8.3s | 1.0e-04 | 0.0603 | 0.8950 | 0.8163 | 0.7646 | 0.0616 | 0.8352 | 0.8422 | 0.7120
Epoch 0022 | 10:29:34 |   8.4s | 1.0e-04 | 0.0589 | 0.8937 | 0.8184 | 0.7687 | 0.0594 | 0.8639 | 0.8078 | 0.6902
Epoch 0023 | 10:29:52 |   8.5s | 1.0e-04 | 0.0587 | 0.8958 | 0.8200 | 0.7747 | 0.0572 | 0.8719 | 0.7949 | 0.6726
Epoch 0024 | 10:30:10 |  21.5s | 1.0e-04 | 0.0651 | 0.8936 | 0.8116 | 0.7523 | 0.0584 | 0.8919 | 0.7922 | 0.7166
Epoch 0025 | 10:30:41 |   8.5s | 1.0e-04 | 0.0545 | 0.8932 | 0.8069 | 0.7400 | 0.0573 | 0.8816 | 0.8037 | 0.7172
Epoch 0026 | 10:30:59 |   8.5s | 1.0e-04 | 0.0543 | 0.8930 | 0.8105 | 0.7449 | 0.0571 | 0.8743 | 0.8155 | 0.7208
Epoch 0027 | 10:31:17 |   8.6s | 1.0e-04 | 0.0540 | 0.8943 | 0.8086 | 0.7416 | 0.0580 | 0.8690 | 0.8181 | 0.7188
Epoch 0028 | 10:31:36 |   8.5s | 1.0e-04 | 0.0528 | 0.8958 | 0.8140 | 0.7556 | 0.0574 | 0.8819 | 0.8134 | 0.7417
Epoch 0029 | 10:31:54 |   8.4s | 1.0e-04 | 0.0525 | 0.8970 | 0.8153 | 0.7574 | 0.0568 | 0.8884 | 0.7962 | 0.7097
Epoch 0030 | 10:32:12 |   8.5s | 1.0e-04 | 0.0535 | 0.8941 | 0.8139 | 0.7570 | 0.0560 | 0.8803 | 0.8140 | 0.7379
Epoch 0031 | 10:32:30 |   8.5s | 1.0e-04 | 0.0529 | 0.8949 | 0.8151 | 0.7576 | 0.0562 | 0.8700 | 0.8151 | 0.7129
Epoch 0032 | 10:32:48 |  22.7s | 1.0e-04 | 0.0554 | 0.8964 | 0.8255 | 0.7831 | 0.0551 | 0.8952 | 0.7856 | 0.7107
Epoch 0033 | 10:33:21 |   8.3s | 1.0e-04 | 0.0551 | 0.8996 | 0.8314 | 0.7985 | 0.0554 | 0.8746 | 0.8175 | 0.7279
Epoch 0034 | 10:33:39 |   8.3s | 1.0e-04 | 0.0549 | 0.9001 | 0.8306 | 0.7958 | 0.0575 | 0.8737 | 0.8187 | 0.7225
Epoch 0035 | 10:33:57 |   8.4s | 1.0e-04 | 0.0558 | 0.8983 | 0.8303 | 0.7983 | 0.0561 | 0.8753 | 0.8180 | 0.7307
Epoch 0036 | 10:34:15 |   8.3s | 1.0e-04 | 0.0546 | 0.8998 | 0.8323 | 0.8003 | 0.0549 | 0.8725 | 0.8168 | 0.7289
Epoch 0037 | 10:34:33 |   8.3s | 1.0e-04 | 0.0544 | 0.9011 | 0.8336 | 0.8049 | 0.0550 | 0.8794 | 0.8203 | 0.7421
Epoch 0038 | 10:34:51 |   8.3s | 1.0e-04 | 0.0535 | 0.9024 | 0.8369 | 0.8096 | 0.0557 | 0.8839 | 0.8078 | 0.7210
Epoch 0039 | 10:35:09 |   8.3s | 1.0e-04 | 0.0542 | 0.9010 | 0.8355 | 0.8074 | 0.0560 | 0.8642 | 0.8290 | 0.7297
Epoch 0040 | 10:35:27 |  18.4s | 1.0e-04 | 0.0525 | 0.9009 | 0.8293 | 0.7972 | 0.0538 | 0.8705 | 0.8324 | 0.7508
Epoch 0041 | 10:35:55 |   8.3s | 1.0e-04 | 0.0521 | 0.8973 | 0.8283 | 0.7912 | 0.0530 | 0.8758 | 0.8152 | 0.7325
Epoch 0042 | 10:36:13 |   8.3s | 1.0e-04 | 0.0519 | 0.9018 | 0.8321 | 0.8002 | 0.0549 | 0.8827 | 0.8160 | 0.7386
Epoch 0043 | 10:36:31 |   8.3s | 1.0e-04 | 0.0526 | 0.9006 | 0.8321 | 0.7984 | 0.0554 | 0.8776 | 0.8194 | 0.7342
Epoch 0044 | 10:36:49 |   8.3s | 1.0e-04 | 0.0514 | 0.9010 | 0.8311 | 0.7997 | 0.0550 | 0.8858 | 0.8129 | 0.7408
Epoch 0045 | 10:37:07 |   8.4s | 1.0e-04 | 0.0514 | 0.9031 | 0.8317 | 0.8018 | 0.0542 | 0.8792 | 0.8336 | 0.7613
Epoch 0046 | 10:37:25 |   8.3s | 1.0e-04 | 0.0509 | 0.9027 | 0.8346 | 0.8046 | 0.0540 | 0.8949 | 0.8102 | 0.7484
Epoch 0047 | 10:37:43 |  22.2s | 1.0e-04 | 0.0516 | 0.9025 | 0.8356 | 0.8112 | 0.0546 | 0.8641 | 0.8463 | 0.7586
Epoch 0048 | 10:38:15 |   8.5s | 1.0e-04 | 0.0525 | 0.9030 | 0.8373 | 0.8147 | 0.0544 | 0.8667 | 0.8315 | 0.7398
Epoch 0049 | 10:38:33 |   8.5s | 1.0e-04 | 0.0531 | 0.9016 | 0.8358 | 0.8075 | 0.0525 | 0.8873 | 0.8106 | 0.7446
Epoch 0050 | 10:38:51 |   8.5s | 1.0e-04 | 0.0529 | 0.9024 | 0.8360 | 0.8124 | 0.0526 | 0.8843 | 0.8226 | 0.7545
Epoch 0051 | 10:39:09 |   8.5s | 1.0e-04 | 0.0532 | 0.9026 | 0.8366 | 0.8127 | 0.0526 | 0.8796 | 0.8275 | 0.7615
Epoch 0052 | 10:39:28 |   8.5s | 1.0e-04 | 0.0533 | 0.9018 | 0.8366 | 0.8111 | 0.0517 | 0.9061 | 0.8029 | 0.7701
Epoch 0053 | 10:39:46 |   8.4s | 1.0e-04 | 0.0527 | 0.9025 | 0.8371 | 0.8113 | 0.0536 | 0.8697 | 0.8466 | 0.7704
Epoch 0054 | 10:40:04 |   8.6s | 1.0e-04 | 0.0520 | 0.9034 | 0.8383 | 0.8182 | 0.0523 | 0.8851 | 0.8272 | 0.7623
Epoch 0055 | 10:40:22 |  18.8s | 1.0e-04 | 0.0517 | 0.9031 | 0.8382 | 0.8149 | 0.0534 | 0.9037 | 0.8136 | 0.7808
Epoch 0056 | 10:40:51 |   8.4s | 1.0e-04 | 0.0508 | 0.9064 | 0.8409 | 0.8230 | 0.0526 | 0.8916 | 0.8179 | 0.7508
Epoch 0057 | 10:41:09 |   8.3s | 1.0e-04 | 0.0515 | 0.9067 | 0.8428 | 0.8262 | 0.0522 | 0.8736 | 0.8368 | 0.7524
Epoch 0058 | 10:41:27 |   8.4s | 1.0e-04 | 0.0501 | 0.9082 | 0.8474 | 0.8344 | 0.0525 | 0.8867 | 0.8262 | 0.7709
Epoch 0059 | 10:41:45 |   8.4s | 1.0e-04 | 0.0509 | 0.9063 | 0.8444 | 0.8289 | 0.0533 | 0.8783 | 0.8285 | 0.7554
Epoch 0060 | 10:42:03 |   8.5s | 1.0e-04 | 0.0505 | 0.9069 | 0.8469 | 0.8356 | 0.0526 | 0.8825 | 0.8294 | 0.7532
Epoch 0061 | 10:42:21 |   8.4s | 1.0e-04 | 0.0505 | 0.9073 | 0.8472 | 0.8368 | 0.0526 | 0.8894 | 0.8107 | 0.7390
Epoch 0062 | 10:42:39 |   8.4s | 1.0e-04 | 0.0500 | 0.9082 | 0.8497 | 0.8404 | 0.0529 | 0.8666 | 0.8414 | 0.7563
Epoch 0063 | 10:42:58 |  21.5s | 1.0e-04 | 0.0505 | 0.9056 | 0.8453 | 0.8312 | 0.0529 | 0.8922 | 0.8264 | 0.7786
Epoch 0064 | 10:43:29 |   8.5s | 1.0e-04 | 0.0506 | 0.9051 | 0.8434 | 0.8288 | 0.0522 | 0.8938 | 0.8331 | 0.7881
Epoch 0065 | 10:43:47 |   8.4s | 1.0e-04 | 0.0504 | 0.9045 | 0.8443 | 0.8272 | 0.0519 | 0.8971 | 0.8163 | 0.7656
Epoch 0066 | 10:44:05 |   8.4s | 1.0e-04 | 0.0500 | 0.9067 | 0.8460 | 0.8350 | 0.0519 | 0.8945 | 0.8256 | 0.7735
Epoch 0067 | 10:44:23 |   8.4s | 1.0e-04 | 0.0503 | 0.9066 | 0.8447 | 0.8323 | 0.0518 | 0.8823 | 0.8324 | 0.7639
Epoch 0068 | 10:44:41 |   8.4s | 1.0e-04 | 0.0500 | 0.9077 | 0.8461 | 0.8324 | 0.0524 | 0.8808 | 0.8286 | 0.7509
Epoch 0069 | 10:44:59 |   8.4s | 1.0e-04 | 0.0499 | 0.9077 | 0.8451 | 0.8314 | 0.0508 | 0.9036 | 0.8177 | 0.7783
Epoch 0070 | 10:45:18 |   8.5s | 1.0e-04 | 0.0498 | 0.9081 | 0.8471 | 0.8364 | 0.0509 | 0.9017 | 0.8196 | 0.7800
Epoch 0071 | 10:45:36 |  22.4s | 1.0e-04 | 0.0489 | 0.9075 | 0.8450 | 0.8344 | 0.0527 | 0.8885 | 0.8283 | 0.7710
Epoch 0072 | 10:46:08 |   8.5s | 1.0e-04 | 0.0487 | 0.9078 | 0.8466 | 0.8363 | 0.0514 | 0.8800 | 0.8465 | 0.7856
Epoch 0073 | 10:46:26 |   8.5s | 1.0e-04 | 0.0491 | 0.9075 | 0.8464 | 0.8362 | 0.0503 | 0.8949 | 0.8283 | 0.7858
Epoch 0074 | 10:46:44 |   8.4s | 1.0e-04 | 0.0483 | 0.9077 | 0.8467 | 0.8349 | 0.0502 | 0.8858 | 0.8352 | 0.7728
Epoch 0075 | 10:47:02 |   8.5s | 1.0e-04 | 0.0489 | 0.9078 | 0.8486 | 0.8387 | 0.0517 | 0.8947 | 0.8324 | 0.7917
Epoch 0076 | 10:47:20 |   8.5s | 1.0e-04 | 0.0485 | 0.9079 | 0.8491 | 0.8400 | 0.0513 | 0.8819 | 0.8341 | 0.7723
Epoch 0077 | 10:47:39 |   8.5s | 1.0e-04 | 0.0488 | 0.9074 | 0.8472 | 0.8351 | 0.0498 | 0.8912 | 0.8272 | 0.7740
Epoch 0078 | 10:47:57 |   8.5s | 1.0e-04 | 0.0483 | 0.9083 | 0.8468 | 0.8341 | 0.0516 | 0.8939 | 0.8282 | 0.7784
Epoch 0079 | 10:48:15 |  18.6s | 1.0e-04 | 0.0493 | 0.9094 | 0.8492 | 0.8402 | 0.0501 | 0.8818 | 0.8308 | 0.7621
Epoch 0080 | 10:48:43 |   8.3s | 1.0e-04 | 0.0490 | 0.9093 | 0.8515 | 0.8437 | 0.0512 | 0.8854 | 0.8462 | 0.7996
Epoch 0081 | 10:49:01 |   8.3s | 1.0e-04 | 0.0489 | 0.9102 | 0.8532 | 0.8488 | 0.0520 | 0.8853 | 0.8376 | 0.7737
Epoch 0082 | 10:49:19 |   8.2s | 1.0e-04 | 0.0493 | 0.9097 | 0.8508 | 0.8450 | 0.0493 | 0.9024 | 0.8341 | 0.8027
Epoch 0083 | 10:49:37 |   8.2s | 1.0e-04 | 0.0483 | 0.9102 | 0.8545 | 0.8493 | 0.0496 | 0.8945 | 0.8173 | 0.7669
Epoch 0084 | 10:49:55 |   8.3s | 1.0e-04 | 0.0500 | 0.9095 | 0.8513 | 0.8476 | 0.0497 | 0.8835 | 0.8340 | 0.7705
Epoch 0085 | 10:50:13 |   8.3s | 1.0e-04 | 0.0490 | 0.9095 | 0.8532 | 0.8473 | 0.0508 | 0.8940 | 0.8338 | 0.7896
Epoch 0086 | 10:50:31 |  19.6s | 1.0e-04 | 0.0487 | 0.9117 | 0.8551 | 0.8506 | 0.0500 | 0.8958 | 0.8281 | 0.7787
Epoch 0087 | 10:51:00 |   8.4s | 1.0e-04 | 0.0487 | 0.9122 | 0.8554 | 0.8530 | 0.0508 | 0.8970 | 0.8196 | 0.7698
Epoch 0088 | 10:51:18 |   8.4s | 1.0e-04 | 0.0495 | 0.9097 | 0.8566 | 0.8542 | 0.0516 | 0.8922 | 0.8333 | 0.7827
Epoch 0089 | 10:51:36 |   8.4s | 1.0e-04 | 0.0489 | 0.9110 | 0.8562 | 0.8547 | 0.0512 | 0.8747 | 0.8470 | 0.7775
Epoch 0090 | 10:51:54 |   8.4s | 1.0e-04 | 0.0488 | 0.9111 | 0.8579 | 0.8575 | 0.0502 | 0.8876 | 0.8394 | 0.7889
Epoch 0091 | 10:52:12 |   8.4s | 1.0e-04 | 0.0488 | 0.9112 | 0.8558 | 0.8524 | 0.0488 | 0.8905 | 0.8405 | 0.8017
Epoch 0092 | 10:52:31 |   8.4s | 1.0e-04 | 0.0486 | 0.9104 | 0.8573 | 0.8565 | 0.0500 | 0.8948 | 0.8242 | 0.7730
Epoch 0093 | 10:52:49 |   8.4s | 1.0e-04 | 0.0486 | 0.9115 | 0.8574 | 0.8571 | 0.0517 | 0.8943 | 0.8326 | 0.7954
Epoch 0094 | 10:53:07 |  25.5s | 1.0e-04 | 0.0484 | 0.9108 | 0.8558 | 0.8534 | 0.0490 | 0.8972 | 0.8380 | 0.8063
Epoch 0095 | 10:53:42 |   8.4s | 1.0e-04 | 0.0470 | 0.9105 | 0.8513 | 0.8460 | 0.0488 | 0.8924 | 0.8325 | 0.7876
Epoch 0096 | 10:54:00 |   8.4s | 1.0e-04 | 0.0468 | 0.9106 | 0.8531 | 0.8479 | 0.0502 | 0.8930 | 0.8294 | 0.7834
Epoch 0097 | 10:54:18 |   8.5s | 1.0e-04 | 0.0469 | 0.9108 | 0.8499 | 0.8428 | 0.0484 | 0.9075 | 0.8305 | 0.8121
Epoch 0098 | 10:54:36 |   8.5s | 1.0e-04 | 0.0472 | 0.9096 | 0.8497 | 0.8427 | 0.0497 | 0.9057 | 0.8289 | 0.8051
Epoch 0099 | 10:54:54 |   8.5s | 1.0e-04 | 0.0469 | 0.9112 | 0.8533 | 0.8495 | 0.0480 | 0.9009 | 0.8231 | 0.7850
Epoch 0100 | 10:55:12 |   8.5s | 1.0e-04 | 0.0469 | 0.9092 | 0.8513 | 0.8440 | 0.0488 | 0.9089 | 0.8308 | 0.8084
Epoch 0101 | 10:55:31 |   8.4s | 1.0e-04 | 0.0467 | 0.9115 | 0.8512 | 0.8446 | 0.0487 | 0.8977 | 0.8328 | 0.7941
Epoch 0102 | 10:55:49 |  23.3s | 1.0e-04 | 0.0468 | 0.9115 | 0.8527 | 0.8493 | 0.0494 | 0.8930 | 0.8457 | 0.8165
Epoch 0103 | 10:56:22 |   8.3s | 1.0e-04 | 0.0469 | 0.9127 | 0.8566 | 0.8554 | 0.0489 | 0.8904 | 0.8414 | 0.7989
Epoch 0104 | 10:56:40 |   8.3s | 1.0e-04 | 0.0471 | 0.9120 | 0.8534 | 0.8513 | 0.0489 | 0.8839 | 0.8495 | 0.7977
Epoch 0105 | 10:56:57 |   8.3s | 1.0e-04 | 0.0464 | 0.9116 | 0.8566 | 0.8569 | 0.0487 | 0.9105 | 0.8198 | 0.7972
Epoch 0106 | 10:57:16 |   8.4s | 1.0e-04 | 0.0466 | 0.9129 | 0.8556 | 0.8546 | 0.0483 | 0.8972 | 0.8433 | 0.8093
Epoch 0107 | 10:57:34 |   8.3s | 1.0e-04 | 0.0464 | 0.9136 | 0.8579 | 0.8582 | 0.0496 | 0.8907 | 0.8422 | 0.7985
Epoch 0108 | 10:57:51 |   8.4s | 1.0e-04 | 0.0470 | 0.9129 | 0.8541 | 0.8522 | 0.0477 | 0.9028 | 0.8281 | 0.8015
Epoch 0109 | 10:58:10 |   8.3s | 1.0e-04 | 0.0464 | 0.9115 | 0.8569 | 0.8552 | 0.0468 | 0.8948 | 0.8422 | 0.8050
Epoch 0110 | 10:58:27 |  19.7s | 1.0e-04 | 0.0471 | 0.9104 | 0.8554 | 0.8543 | 0.0482 | 0.9006 | 0.8389 | 0.8078
Epoch 0111 | 10:58:57 |   8.5s | 1.0e-04 | 0.0471 | 0.9104 | 0.8537 | 0.8509 | 0.0478 | 0.8938 | 0.8386 | 0.8006
Epoch 0112 | 10:59:15 |   8.5s | 1.0e-04 | 0.0466 | 0.9116 | 0.8564 | 0.8537 | 0.0488 | 0.8980 | 0.8389 | 0.8023
Epoch 0113 | 10:59:33 |   8.5s | 1.0e-04 | 0.0465 | 0.9120 | 0.8573 | 0.8566 | 0.0494 | 0.8926 | 0.8403 | 0.8011
Epoch 0114 | 10:59:51 |   8.5s | 1.0e-04 | 0.0463 | 0.9109 | 0.8544 | 0.8522 | 0.0475 | 0.8953 | 0.8396 | 0.7908
Epoch 0115 | 11:00:10 |   8.5s | 1.0e-04 | 0.0470 | 0.9102 | 0.8552 | 0.8532 | 0.0490 | 0.8868 | 0.8411 | 0.7928
Epoch 0116 | 11:00:28 |   8.5s | 1.0e-04 | 0.0465 | 0.9124 | 0.8547 | 0.8544 | 0.0475 | 0.8934 | 0.8389 | 0.7959
Epoch 0117 | 11:00:46 |   8.4s | 1.0e-04 | 0.0463 | 0.9112 | 0.8537 | 0.8513 | 0.0501 | 0.8884 | 0.8477 | 0.8037
Epoch 0118 | 11:01:04 |  24.0s | 1.0e-04 | 0.0456 | 0.9115 | 0.8551 | 0.8533 | 0.0482 | 0.8950 | 0.8438 | 0.8137
Epoch 0119 | 11:01:38 |   8.6s | 1.0e-04 | 0.0454 | 0.9126 | 0.8549 | 0.8543 | 0.0482 | 0.8879 | 0.8519 | 0.8085
