0001 | 23:46:50 |  28.2s | 1.0e-04 | 0.2549 | 0.4537 | 0.1675 | 0.1249 | 0.1408 | 0.6629 | 0.3473 | 0.2367
0002 | 23:47:36 |  26.9s | 1.0e-04 | 0.1369 | 0.6723 | 0.3985 | 0.3178 | 0.1256 | 0.6630 | 0.4016 | 0.3185
0003 | 23:48:19 |  14.4s | 1.0e-04 | 0.1347 | 0.6836 | 0.4609 | 0.3698 | 0.1233 | 0.6737 | 0.4357 | 0.3396
0004 | 23:48:52 |  26.6s | 1.0e-04 | 0.1309 | 0.6862 | 0.4745 | 0.3777 | 0.1192 | 0.6749 | 0.4225 | 0.3328
0005 | 23:49:35 |  14.6s | 1.0e-04 | 0.1248 | 0.6828 | 0.4735 | 0.3739 | 0.1192 | 0.6719 | 0.4680 | 0.3473
0006 | 23:50:06 |  28.4s | 1.0e-04 | 0.1231 | 0.6865 | 0.4891 | 0.3802 | 0.1152 | 0.6709 | 0.4760 | 0.3436
0001 | 23:51:49 |  28.6s | 1.0e-04 | 0.2573 | 0.4007 | 0.1478 | 0.1213 | 0.1446 | 0.6696 | 0.3057 | 0.2127
0001 | 23:52:16 |  31.9s | 1.0e-04 | 0.2532 | 0.6918 | 0.1546 | 0.1252 | 0.1436 | 0.6729 | 0.3476 | 0.2361
0002 | 23:52:39 |  35.1s | 1.0e-04 | 0.1398 | 0.6721 | 0.3902 | 0.3074 | 0.1271 | 0.6589 | 0.3862 | 0.3070
0002 | 23:53:06 |  31.1s | 1.0e-04 | 0.1398 | 0.6805 | 0.4192 | 0.3267 | 0.1259 | 0.6757 | 0.3968 | 0.3237
0003 | 23:53:33 |  15.9s | 1.0e-04 | 0.1285 | 0.6678 | 0.4131 | 0.3413 | 0.1246 | 0.6614 | 0.4282 | 0.3269
0003 | 23:53:56 |  19.7s | 1.0e-04 | 0.1299 | 0.6778 | 0.4425 | 0.3599 | 0.1202 | 0.6558 | 0.4322 | 0.3232
0004 | 23:54:09 |  33.8s | 1.0e-04 | 0.1263 | 0.6702 | 0.4257 | 0.3483 | 0.1200 | 0.6556 | 0.4401 | 0.3209
0004 | 23:54:35 |  31.3s | 1.0e-04 | 0.1263 | 0.6823 | 0.4655 | 0.3725 | 0.1198 | 0.6664 | 0.4517 | 0.3407
0005 | 23:55:04 |  15.8s | 1.0e-04 | 0.1258 | 0.6798 | 0.4612 | 0.3688 | 0.1190 | 0.6837 | 0.4259 | 0.3395
0005 | 23:55:30 |  22.8s | 1.0e-04 | 0.1236 | 0.6840 | 0.4828 | 0.3811 | 0.1191 | 0.6769 | 0.4652 | 0.3504
0006 | 23:55:41 |  38.3s | 1.0e-04 | 0.1239 | 0.6847 | 0.4770 | 0.3761 | 0.1171 | 0.6749 | 0.4649 | 0.3446
0006 | 23:56:12 |  33.1s | 1.0e-04 | 0.1225 | 0.6850 | 0.4926 | 0.3835 | 0.1157 | 0.6744 | 0.4641 | 0.3404
0007 | 23:56:45 |  15.7s | 1.0e-04 | 0.1228 | 0.6923 | 0.4952 | 0.3823 | 0.1144 | 0.6819 | 0.4651 | 0.3418
0007 | 23:57:05 |  18.4s | 1.0e-04 | 0.1216 | 0.6881 | 0.5007 | 0.3828 | 0.1155 | 0.6741 | 0.4984 | 0.3517
0008 | 23:57:20 |  35.9s | 1.0e-04 | 0.1210 | 0.6955 | 0.5055 | 0.3840 | 0.1144 | 0.6952 | 0.4870 | 0.3536
0008 | 23:57:41 |  33.1s | 1.0e-04 | 0.1214 | 0.6954 | 0.5165 | 0.3895 | 0.1137 | 0.6846 | 0.4788 | 0.3492
0009 | 23:58:17 |  16.9s | 1.0e-04 | 0.1195 | 0.7054 | 0.5210 | 0.3887 | 0.1128 | 0.7081 | 0.4794 | 0.3542
0009 | 23:58:34 |  16.0s | 1.0e-04 | 0.1218 | 0.7008 | 0.5241 | 0.3942 | 0.1164 | 0.6941 | 0.5140 | 0.3637
0010 | 23:58:54 |  57.8s | 1.0e-04 | 0.1167 | 0.7183 | 0.5319 | 0.3938 | 0.1098 | 0.7045 | 0.5200 | 0.3483
0010 | 23:59:08 |  41.9s | 1.0e-04 | 0.1196 | 0.7060 | 0.5286 | 0.3938 | 0.1124 | 0.6953 | 0.4905 | 0.3467
0011 | 00:00:14 |  29.1s | 1.0e-04 | 0.1135 | 0.7424 | 0.5462 | 0.4001 | 0.1093 | 0.7573 | 0.5158 | 0.3647
0011 | 00:00:14 |  29.1s | 1.0e-04 | 0.1161 | 0.7094 | 0.5229 | 0.3878 | 0.1125 | 0.7136 | 0.5000 | 0.3593
0012 | 00:01:05 |  34.7s | 1.0e-04 | 0.1136 | 0.7175 | 0.5262 | 0.3857 | 0.1087 | 0.6932 | 0.5402 | 0.3522
0012 | 00:01:04 |  44.6s | 1.0e-04 | 0.1106 | 0.7635 | 0.5694 | 0.4060 | 0.1034 | 0.7362 | 0.5778 | 0.3626
0013 | 00:01:57 |  22.0s | 1.0e-04 | 0.1113 | 0.7234 | 0.5284 | 0.3780 | 0.1071 | 0.7264 | 0.5191 | 0.3564
0013 | 00:02:08 |  20.2s | 1.0e-04 | 0.1072 | 0.7756 | 0.5945 | 0.4178 | 0.1026 | 0.7620 | 0.5905 | 0.3791
0014 | 00:02:38 |  33.1s | 1.0e-04 | 0.1101 | 0.7373 | 0.5482 | 0.3916 | 0.1057 | 0.7222 | 0.5715 | 0.3649
0014 | 00:02:49 |  46.8s | 1.0e-04 | 0.1028 | 0.7853 | 0.6114 | 0.4212 | 0.0993 | 0.7556 | 0.6219 | 0.3830
0015 | 00:03:34 |  16.2s | 1.0e-04 | 0.1077 | 0.7595 | 0.5877 | 0.4163 | 0.1044 | 0.7205 | 0.6316 | 0.3760
0015 | 00:03:57 |  21.0s | 1.0e-04 | 0.0966 | 0.7938 | 0.6254 | 0.4238 | 0.0963 | 0.7956 | 0.6098 | 0.4031
0016 | 00:04:10 |  35.9s | 1.0e-04 | 0.1034 | 0.7770 | 0.6169 | 0.4268 | 0.0998 | 0.7699 | 0.6090 | 0.3900
0017 | 00:05:05 |  17.4s | 1.0e-04 | 0.0999 | 0.7878 | 0.6377 | 0.4446 | 0.0964 | 0.7452 | 0.6526 | 0.3946
0016 | 00:04:38 |  47.7s | 1.0e-04 | 0.0953 | 0.8015 | 0.6381 | 0.4339 | 0.0950 | 0.7451 | 0.6808 | 0.4093
0017 | 00:05:47 |  18.8s | 1.0e-04 | 0.0947 | 0.8085 | 0.6536 | 0.4523 | 0.0927 | 0.8010 | 0.6454 | 0.4300
0018 | 00:05:41 |  38.9s | 1.0e-04 | 0.0980 | 0.7973 | 0.6532 | 0.4579 | 0.0929 | 0.7794 | 0.6333 | 0.4073
0019 | 00:06:37 |  20.0s | 1.0e-04 | 0.0965 | 0.8037 | 0.6687 | 0.4748 | 0.0923 | 0.7738 | 0.6613 | 0.4171
0018 | 00:06:24 |  38.7s | 1.0e-04 | 0.0935 | 0.8149 | 0.6686 | 0.4690 | 0.0910 | 0.8056 | 0.6518 | 0.4281
0019 | 00:07:27 |  18.0s | 1.0e-04 | 0.0925 | 0.8199 | 0.6833 | 0.4944 | 0.0897 | 0.7904 | 0.6795 | 0.4319
0020 | 00:07:18 |  31.5s | 1.0e-04 | 0.0920 | 0.8088 | 0.6694 | 0.4712 | 0.0902 | 0.8067 | 0.6433 | 0.4293
0021 | 00:08:10 |  20.1s | 1.0e-04 | 0.0879 | 0.8166 | 0.6718 | 0.4687 | 0.0870 | 0.7935 | 0.6586 | 0.4226
0020 | 00:08:04 |  42.9s | 1.0e-04 | 0.0906 | 0.8249 | 0.6850 | 0.4932 | 0.0872 | 0.8078 | 0.6536 | 0.4267
0022 | 00:08:50 |  34.5s | 1.0e-04 | 0.0888 | 0.8179 | 0.6821 | 0.4876 | 0.0880 | 0.8224 | 0.6484 | 0.4452
0021 | 00:09:06 |  22.4s | 1.0e-04 | 0.0889 | 0.8290 | 0.6850 | 0.4913 | 0.0866 | 0.8076 | 0.6695 | 0.4441
0023 | 00:09:44 |  18.8s | 1.0e-04 | 0.0886 | 0.8229 | 0.6930 | 0.5018 | 0.0864 | 0.8041 | 0.6831 | 0.4535
0022 | 00:09:51 |  42.1s | 1.0e-04 | 0.0870 | 0.8303 | 0.6875 | 0.4937 | 0.0870 | 0.8067 | 0.6822 | 0.4508
0024 | 00:10:22 |  52.8s | 1.0e-04 | 0.0881 | 0.8264 | 0.6953 | 0.5089 | 0.0849 | 0.7978 | 0.7010 | 0.4614
0023 | 00:10:53 |  23.1s | 1.0e-04 | 0.0853 | 0.8329 | 0.6889 | 0.4928 | 0.0861 | 0.8341 | 0.6532 | 0.4540
0025 | 00:11:36 |  20.2s | 1.0e-04 | 0.0862 | 0.8321 | 0.7021 | 0.5168 | 0.0847 | 0.7747 | 0.7275 | 0.4663
0024 | 00:11:37 |  47.4s | 1.0e-04 | 0.0867 | 0.8347 | 0.6970 | 0.5123 | 0.0842 | 0.8326 | 0.6600 | 0.4582
0026 | 00:12:18 |  36.7s | 1.0e-04 | 0.0852 | 0.8349 | 0.7059 | 0.5231 | 0.0824 | 0.8118 | 0.6909 | 0.4658
