Starting OVERFIT experiment: 200000 events, 300 epochs, k=2
Epoch 028 | T-Loss: 0.1298 | V-Loss: 0.1294 | T-Prec: 0.6547 | V-Prec: 0.6584 | T-Rec: 0.4381 | V-Rec: 0.4450 | T-P@R0.9: 0.3479 | V-P@R0.9: 0.3517
Epoch 029 | T-Loss: 0.1298 | V-Loss: 0.1294 | T-Prec: 0.6540 | V-Prec: 0.6580 | T-Rec: 0.4377 | V-Rec: 0.4446 | T-P@R0.9: 0.3477 | V-P@R0.9: 0.3520
Epoch 030 | T-Loss: 0.1297 | V-Loss: 0.1293 | T-Prec: 0.6587 | V-Prec: 0.6622 | T-Rec: 0.4271 | V-Rec: 0.4337 | T-P@R0.9: 0.3477 | V-P@R0.9: 0.3521
Epoch 031 | T-Loss: 0.1299 | V-Loss: 0.1299 | T-Prec: 0.6540 | V-Prec: 0.6570 | T-Rec: 0.4361 | V-Rec: 0.4419 | T-P@R0.9: 0.3478 | V-P@R0.9: 0.3511
Epoch 032 | T-Loss: 0.1297 | V-Loss: 0.1294 | T-Prec: 0.6576 | V-Prec: 0.6617 | T-Rec: 0.4296 | V-Rec: 0.4372 | T-P@R0.9: 0.3483 | V-P@R0.9: 0.3531
Epoch 033 | T-Loss: 0.1297 | V-Loss: 0.1294 | T-Prec: 0.6568 | V-Prec: 0.6606 | T-Rec: 0.4315 | V-Rec: 0.4385 | T-P@R0.9: 0.3492 | V-P@R0.9: 0.3536
Epoch 034 | T-Loss: 0.1298 | V-Loss: 0.1298 | T-Prec: 0.6548 | V-Prec: 0.6577 | T-Rec: 0.4360 | V-Rec: 0.4412 | T-P@R0.9: 0.3485 | V-P@R0.9: 0.3509
Epoch 035 | T-Loss: 0.1296 | V-Loss: 0.1293 | T-Prec: 0.6641 | V-Prec: 0.6674 | T-Rec: 0.4145 | V-Rec: 0.4213 | T-P@R0.9: 0.3495 | V-P@R0.9: 0.3534
Epoch 036 | T-Loss: 0.1294 | V-Loss: 0.1291 | T-Prec: 0.6602 | V-Prec: 0.6642 | T-Rec: 0.4265 | V-Rec: 0.4332 | T-P@R0.9: 0.3500 | V-P@R0.9: 0.3534
Epoch 037 | T-Loss: 0.1295 | V-Loss: 0.1293 | T-Prec: 0.6539 | V-Prec: 0.6571 | T-Rec: 0.4406 | V-Rec: 0.4461 | T-P@R0.9: 0.3495 | V-P@R0.9: 0.3527
Epoch 038 | T-Loss: 0.1295 | V-Loss: 0.1292 | T-Prec: 0.6521 | V-Prec: 0.6552 | T-Rec: 0.4465 | V-Rec: 0.4532 | T-P@R0.9: 0.3494 | V-P@R0.9: 0.3538
Epoch 039 | T-Loss: 0.1293 | V-Loss: 0.1290 | T-Prec: 0.6597 | V-Prec: 0.6639 | T-Rec: 0.4267 | V-Rec: 0.4343 | T-P@R0.9: 0.3497 | V-P@R0.9: 0.3543
Epoch 040 | T-Loss: 0.1293 | V-Loss: 0.1289 | T-Prec: 0.6577 | V-Prec: 0.6619 | T-Rec: 0.4333 | V-Rec: 0.4403 | T-P@R0.9: 0.3501 | V-P@R0.9: 0.3538
Epoch 041 | T-Loss: 0.1309 | V-Loss: 0.1315 | T-Prec: 0.6539 | V-Prec: 0.6577 | T-Rec: 0.4381 | V-Rec: 0.4448 | T-P@R0.9: 0.3502 | V-P@R0.9: 0.3545
