Terminated

ERROR conda.cli.main_run:execute(127): `conda run python3 2026-03-07_investigation_of_2026-02-28_results/train_final_large.py` failed. (See above for error)
Starting LARGE training: 500000 events, 80 epochs, k=2
Epoch 045 | T-Loss: 0.1276 | V-Loss: 0.1281 | Prec: 0.6466 | Rec: 0.4783 | P@R0.9: 0.3566
Epoch 046 | T-Loss: 0.1276 | V-Loss: 0.1276 | Prec: 0.6569 | Rec: 0.4535 | P@R0.9: 0.3583
Epoch 047 | T-Loss: 0.1275 | V-Loss: 0.1276 | Prec: 0.6570 | Rec: 0.4526 | P@R0.9: 0.3574
Epoch 048 | T-Loss: 0.1275 | V-Loss: 0.1276 | Prec: 0.6569 | Rec: 0.4550 | P@R0.9: 0.3575
Epoch 049 | T-Loss: 0.1274 | V-Loss: 0.1277 | Prec: 0.6539 | Rec: 0.4617 | P@R0.9: 0.3572
Epoch 050 | T-Loss: 0.1275 | V-Loss: 0.1276 | Prec: 0.6574 | Rec: 0.4545 | P@R0.9: 0.3581
Epoch 051 | T-Loss: 0.1274 | V-Loss: 0.1277 | Prec: 0.6552 | Rec: 0.4590 | P@R0.9: 0.3579
Epoch 052 | T-Loss: 0.1274 | V-Loss: 0.1279 | Prec: 0.6577 | Rec: 0.4533 | P@R0.9: 0.3579
Epoch 053 | T-Loss: 0.1274 | V-Loss: 0.1275 | Prec: 0.6586 | Rec: 0.4531 | P@R0.9: 0.3583
Epoch 054 | T-Loss: 0.1273 | V-Loss: 0.1277 | Prec: 0.6641 | Rec: 0.4334 | P@R0.9: 0.3586
Epoch 055 | T-Loss: 0.1273 | V-Loss: 0.1273 | Prec: 0.6549 | Rec: 0.4621 | P@R0.9: 0.3591
Epoch 056 | T-Loss: 0.1273 | V-Loss: 0.1274 | Prec: 0.6526 | Rec: 0.4680 | P@R0.9: 0.3588
Epoch 057 | T-Loss: 0.1273 | V-Loss: 0.1275 | Prec: 0.6517 | Rec: 0.4709 | P@R0.9: 0.3595
Epoch 058 | T-Loss: 0.1272 | V-Loss: 0.1273 | Prec: 0.6535 | Rec: 0.4664 | P@R0.9: 0.3596
Epoch 059 | T-Loss: 0.1272 | V-Loss: 0.1274 | Prec: 0.6606 | Rec: 0.4498 | P@R0.9: 0.3591
Epoch 060 | T-Loss: 0.1272 | V-Loss: 0.1273 | Prec: 0.6541 | Rec: 0.4656 | P@R0.9: 0.3596
Epoch 061 | T-Loss: 0.1272 | V-Loss: 0.1273 | Prec: 0.6529 | Rec: 0.4683 | P@R0.9: 0.3593
Epoch 062 | T-Loss: 0.1271 | V-Loss: 0.1273 | Prec: 0.6491 | Rec: 0.4783 | P@R0.9: 0.3595
Epoch 063 | T-Loss: 0.1271 | V-Loss: 0.1272 | Prec: 0.6560 | Rec: 0.4624 | P@R0.9: 0.3596
Epoch 064 | T-Loss: 0.1271 | V-Loss: 0.1272 | Prec: 0.6545 | Rec: 0.4668 | P@R0.9: 0.3598
Epoch 065 | T-Loss: 0.1271 | V-Loss: 0.1273 | Prec: 0.6639 | Rec: 0.4431 | P@R0.9: 0.3601
Epoch 066 | T-Loss: 0.1270 | V-Loss: 0.1273 | Prec: 0.6574 | Rec: 0.4578 | P@R0.9: 0.3588
Epoch 067 | T-Loss: 0.1270 | V-Loss: 0.1271 | Prec: 0.6560 | Rec: 0.4631 | P@R0.9: 0.3599
Epoch 068 | T-Loss: 0.1271 | V-Loss: 0.1276 | Prec: 0.6662 | Rec: 0.4351 | P@R0.9: 0.3583

