nohup: ignoring input
Device: cuda | Experiment: v3 (768 internal) | Events: 250000
/home/levos/miniconda3/envs/baikal/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:62: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
Starting v3 training (800 epochs)...
Epoch 023 | Time: 108.0s | LR: 2.00e-04 | T-Loss: 0.1311 | V-Loss: 0.1295 | T-Prec: 0.6680 | V-Prec: 0.6624 | T-Rec: 0.3903 | V-Rec: 0.3781 | T-P@R0.9: 0.3490 | V-P@R0.9: 0.3441
Epoch 024 | Time: 108.5s | LR: 2.00e-04 | T-Loss: 0.1308 | V-Loss: 0.1293 | T-Prec: 0.6536 | V-Prec: 0.6491 | T-Rec: 0.4227 | V-Rec: 0.4113 | T-P@R0.9: 0.3510 | V-P@R0.9: 0.3452
Epoch 025 | Time: 107.4s | LR: 2.00e-04 | T-Loss: 0.1312 | V-Loss: 0.1297 | T-Prec: 0.6445 | V-Prec: 0.6406 | T-Rec: 0.4451 | V-Rec: 0.4344 | T-P@R0.9: 0.3484 | V-P@R0.9: 0.3427
Epoch 026 | Time: 107.8s | LR: 2.00e-04 | T-Loss: 0.1309 | V-Loss: 0.1294 | T-Prec: 0.6407 | V-Prec: 0.6356 | T-Rec: 0.4566 | V-Rec: 0.4442 | T-P@R0.9: 0.3505 | V-P@R0.9: 0.3454
Epoch 027 | Time: 107.7s | LR: 2.00e-04 | T-Loss: 0.1307 | V-Loss: 0.1293 | T-Prec: 0.6456 | V-Prec: 0.6395 | T-Rec: 0.4456 | V-Rec: 0.4325 | T-P@R0.9: 0.3508 | V-P@R0.9: 0.3462
Epoch 028 | Time: 107.5s | LR: 2.00e-04 | T-Loss: 0.1304 | V-Loss: 0.1289 | T-Prec: 0.6460 | V-Prec: 0.6420 | T-Rec: 0.4445 | V-Rec: 0.4332 | T-P@R0.9: 0.3523 | V-P@R0.9: 0.3471
Epoch 029 | Time: 107.8s | LR: 2.00e-04 | T-Loss: 0.1304 | V-Loss: 0.1290 | T-Prec: 0.6465 | V-Prec: 0.6428 | T-Rec: 0.4456 | V-Rec: 0.4350 | T-P@R0.9: 0.3522 | V-P@R0.9: 0.3464
Epoch 030 | Time: 107.5s | LR: 2.00e-04 | T-Loss: 0.1303 | V-Loss: 0.1289 | T-Prec: 0.6485 | V-Prec: 0.6442 | T-Rec: 0.4437 | V-Rec: 0.4324 | T-P@R0.9: 0.3532 | V-P@R0.9: 0.3470
Epoch 031 | Time: 107.2s | LR: 2.00e-04 | T-Loss: 0.1304 | V-Loss: 0.1289 | T-Prec: 0.6601 | V-Prec: 0.6552 | T-Rec: 0.4165 | V-Rec: 0.4052 | T-P@R0.9: 0.3527 | V-P@R0.9: 0.3478
Epoch 032 | Time: 108.5s | LR: 2.00e-04 | T-Loss: 0.1303 | V-Loss: 0.1288 | T-Prec: 0.6543 | V-Prec: 0.6491 | T-Rec: 0.4304 | V-Rec: 0.4196 | T-P@R0.9: 0.3537 | V-P@R0.9: 0.3481
Epoch 033 | Time: 108.2s | LR: 2.00e-04 | T-Loss: 0.1300 | V-Loss: 0.1285 | T-Prec: 0.6535 | V-Prec: 0.6483 | T-Rec: 0.4359 | V-Rec: 0.4245 | T-P@R0.9: 0.3542 | V-P@R0.9: 0.3489
Epoch 034 | Time: 108.3s | LR: 2.00e-04 | T-Loss: 0.1301 | V-Loss: 0.1286 | T-Prec: 0.6485 | V-Prec: 0.6438 | T-Rec: 0.4492 | V-Rec: 0.4382 | T-P@R0.9: 0.3539 | V-P@R0.9: 0.3488
Epoch 035 | Time: 107.7s | LR: 2.00e-04 | T-Loss: 0.1301 | V-Loss: 0.1286 | T-Prec: 0.6570 | V-Prec: 0.6518 | T-Rec: 0.4303 | V-Rec: 0.4197 | T-P@R0.9: 0.3541 | V-P@R0.9: 0.3492
Epoch 036 | Time: 107.8s | LR: 2.00e-04 | T-Loss: 0.1301 | V-Loss: 0.1287 | T-Prec: 0.6359 | V-Prec: 0.6316 | T-Rec: 0.4840 | V-Rec: 0.4737 | T-P@R0.9: 0.3537 | V-P@R0.9: 0.3488
Epoch 037 | Time: 108.5s | LR: 2.00e-04 | T-Loss: 0.1299 | V-Loss: 0.1284 | T-Prec: 0.6473 | V-Prec: 0.6432 | T-Rec: 0.4563 | V-Rec: 0.4459 | T-P@R0.9: 0.3548 | V-P@R0.9: 0.3499
Epoch 038 | Time: 107.9s | LR: 2.00e-04 | T-Loss: 0.1296 | V-Loss: 0.1281 | T-Prec: 0.6576 | V-Prec: 0.6522 | T-Rec: 0.4372 | V-Rec: 0.4266 | T-P@R0.9: 0.3559 | V-P@R0.9: 0.3507
Epoch 039 | Time: 107.9s | LR: 2.00e-04 | T-Loss: 0.1295 | V-Loss: 0.1281 | T-Prec: 0.6556 | V-Prec: 0.6509 | T-Rec: 0.4427 | V-Rec: 0.4321 | T-P@R0.9: 0.3564 | V-P@R0.9: 0.3512
