nohup: ignoring input
Device: cuda | Experiment: Deep & Wide LONG | Events: 300000
Epoch 065 | T-Loss: 0.1241 | V-Loss: 0.1239 | V-P@R0.9: 0.3713
Epoch 066 | T-Loss: 0.1234 | V-Loss: 0.1231 | V-P@R0.9: 0.3718
Epoch 067 | T-Loss: 0.1231 | V-Loss: 0.1228 | V-P@R0.9: 0.3731
Epoch 068 | T-Loss: 0.1231 | V-Loss: 0.1229 | V-P@R0.9: 0.3717
Epoch 069 | T-Loss: 0.1230 | V-Loss: 0.1227 | V-P@R0.9: 0.3728
Epoch 070 | T-Loss: 0.1237 | V-Loss: 0.1234 | V-P@R0.9: 0.3689
Epoch 071 | T-Loss: 0.1226 | V-Loss: 0.1223 | V-P@R0.9: 0.3752
Epoch 072 | T-Loss: 0.1228 | V-Loss: 0.1225 | V-P@R0.9: 0.3749
Epoch 073 | T-Loss: 0.1230 | V-Loss: 0.1227 | V-P@R0.9: 0.3739
Epoch 074 | T-Loss: 0.1230 | V-Loss: 0.1227 | V-P@R0.9: 0.3717
Epoch 075 | T-Loss: 0.1228 | V-Loss: 0.1224 | V-P@R0.9: 0.3734
Epoch 076 | T-Loss: 0.1225 | V-Loss: 0.1222 | V-P@R0.9: 0.3739
Epoch 077 | T-Loss: 0.1225 | V-Loss: 0.1221 | V-P@R0.9: 0.3749
Epoch 078 | T-Loss: 0.1224 | V-Loss: 0.1222 | V-P@R0.9: 0.3742
Epoch 079 | T-Loss: 0.1225 | V-Loss: 0.1223 | V-P@R0.9: 0.3742
Epoch 080 | T-Loss: 0.1221 | V-Loss: 0.1218 | V-P@R0.9: 0.3761
Epoch 081 | T-Loss: 0.1221 | V-Loss: 0.1218 | V-P@R0.9: 0.3744
Epoch 082 | T-Loss: 0.1222 | V-Loss: 0.1219 | V-P@R0.9: 0.3759
Epoch 083 | T-Loss: 0.1225 | V-Loss: 0.1223 | V-P@R0.9: 0.3734
Epoch 084 | T-Loss: 0.1227 | V-Loss: 0.1225 | V-P@R0.9: 0.3707
Epoch 085 | T-Loss: 0.1218 | V-Loss: 0.1215 | V-P@R0.9: 0.3762
Epoch 086 | T-Loss: 0.1223 | V-Loss: 0.1220 | V-P@R0.9: 0.3740
Epoch 087 | T-Loss: 0.1221 | V-Loss: 0.1220 | V-P@R0.9: 0.3739
Epoch 088 | T-Loss: 0.1221 | V-Loss: 0.1218 | V-P@R0.9: 0.3748
Epoch 089 | T-Loss: 0.1220 | V-Loss: 0.1218 | V-P@R0.9: 0.3739
Epoch 090 | T-Loss: 0.1217 | V-Loss: 0.1216 | V-P@R0.9: 0.3752
Epoch 091 | T-Loss: 0.1218 | V-Loss: 0.1216 | V-P@R0.9: 0.3749
Epoch 092 | T-Loss: 0.1217 | V-Loss: 0.1215 | V-P@R0.9: 0.3751
Epoch 093 | T-Loss: 0.1215 | V-Loss: 0.1212 | V-P@R0.9: 0.3760
Epoch 094 | T-Loss: 0.1216 | V-Loss: 0.1215 | V-P@R0.9: 0.3754
Epoch 095 | T-Loss: 0.1214 | V-Loss: 0.1213 | V-P@R0.9: 0.3763
Epoch 096 | T-Loss: 0.1213 | V-Loss: 0.1211 | V-P@R0.9: 0.3776
Epoch 097 | T-Loss: 0.1214 | V-Loss: 0.1213 | V-P@R0.9: 0.3755
Epoch 098 | T-Loss: 0.1216 | V-Loss: 0.1215 | V-P@R0.9: 0.3754
Epoch 099 | T-Loss: 0.1213 | V-Loss: 0.1212 | V-P@R0.9: 0.3768
Epoch 100 | T-Loss: 0.1217 | V-Loss: 0.1215 | V-P@R0.9: 0.3764
Epoch 101 | T-Loss: 0.1220 | V-Loss: 0.1220 | V-P@R0.9: 0.3738
Epoch 102 | T-Loss: 0.1210 | V-Loss: 0.1208 | V-P@R0.9: 0.3781
Epoch 103 | T-Loss: 0.1211 | V-Loss: 0.1210 | V-P@R0.9: 0.3774
Epoch 104 | T-Loss: 0.1215 | V-Loss: 0.1214 | V-P@R0.9: 0.3768
Epoch 105 | T-Loss: 0.1209 | V-Loss: 0.1208 | V-P@R0.9: 0.3778
Epoch 106 | T-Loss: 0.1209 | V-Loss: 0.1208 | V-P@R0.9: 0.3780
Epoch 107 | T-Loss: 0.1212 | V-Loss: 0.1212 | V-P@R0.9: 0.3782
Epoch 108 | T-Loss: 0.1211 | V-Loss: 0.1211 | V-P@R0.9: 0.3768
