nohup: ignoring input
Device: cuda | Experiment: Causal Graph | Events: 100000
Starting training with Causal Graph...
Epoch 023 | Time: 189.6s | LR: 2.00e-04 | T-Loss: 0.2488 | V-Loss: 0.2454 | T-Prec: 0.4559 | V-Prec: 0.4332 | T-Rec: 0.0237 | V-Rec: 0.0207 | T-P@R0.9: 0.0829 | V-P@R0.9: 0.0801
Epoch 024 | Time: 186.1s | LR: 2.00e-04 | T-Loss: 0.2443 | V-Loss: 0.2421 | T-Prec: 0.4893 | V-Prec: 0.4849 | T-Rec: 0.0207 | V-Rec: 0.0188 | T-P@R0.9: 0.0829 | V-P@R0.9: 0.0803
Epoch 025 | Time: 185.1s | LR: 2.00e-04 | T-Loss: 0.2468 | V-Loss: 0.2429 | T-Prec: 0.5486 | V-Prec: 0.3917 | T-Rec: 0.0009 | V-Rec: 0.0010 | T-P@R0.9: 0.0825 | V-P@R0.9: 0.0800
Epoch 026 | Time: 189.8s | LR: 2.00e-04 | T-Loss: 0.2444 | V-Loss: 0.2422 | T-Prec: 0.5120 | V-Prec: 0.4630 | T-Rec: 0.0079 | V-Rec: 0.0047 | T-P@R0.9: 0.0831 | V-P@R0.9: 0.0804
Epoch 027 | Time: 182.4s | LR: 2.00e-04 | T-Loss: 0.2437 | V-Loss: 0.2414 | T-Prec: 0.5841 | V-Prec: 0.6297 | T-Rec: 0.0053 | V-Rec: 0.0047 | T-P@R0.9: 0.0832 | V-P@R0.9: 0.0802
Epoch 028 | Time: 188.0s | LR: 2.00e-04 | T-Loss: 0.2438 | V-Loss: 0.2414 | T-Prec: 0.5090 | V-Prec: 0.5223 | T-Rec: 0.0185 | V-Rec: 0.0165 | T-P@R0.9: 0.0831 | V-P@R0.9: 0.0802
Epoch 029 | Time: 184.1s | LR: 2.00e-04 | T-Loss: 0.2461 | V-Loss: 0.2427 | T-Prec: 0.4991 | V-Prec: 0.4763 | T-Rec: 0.0194 | V-Rec: 0.0210 | T-P@R0.9: 0.0830 | V-P@R0.9: 0.0805
Epoch 030 | Time: 186.2s | LR: 2.00e-04 | T-Loss: 0.2437 | V-Loss: 0.2414 | T-Prec: 0.4885 | V-Prec: 0.5008 | T-Rec: 0.0204 | V-Rec: 0.0203 | T-P@R0.9: 0.0832 | V-P@R0.9: 0.0803
Epoch 031 | Time: 184.9s | LR: 2.00e-04 | T-Loss: 0.2435 | V-Loss: 0.2412 | T-Prec: 0.5314 | V-Prec: 0.5296 | T-Rec: 0.0056 | V-Rec: 0.0071 | T-P@R0.9: 0.0832 | V-P@R0.9: 0.0805
Epoch 032 | Time: 193.2s | LR: 2.00e-04 | T-Loss: 0.2434 | V-Loss: 0.2412 | T-Prec: 0.5583 | V-Prec: 0.5397 | T-Rec: 0.0137 | V-Rec: 0.0117 | T-P@R0.9: 0.0832 | V-P@R0.9: 0.0804
Epoch 033 | Time: 181.8s | LR: 2.00e-04 | T-Loss: 0.2434 | V-Loss: 0.2412 | T-Prec: 0.5464 | V-Prec: 0.5580 | T-Rec: 0.0055 | V-Rec: 0.0046 | T-P@R0.9: 0.0832 | V-P@R0.9: 0.0804
Epoch 034 | Time: 187.8s | LR: 2.00e-04 | T-Loss: 0.2441 | V-Loss: 0.2417 | T-Prec: 0.5322 | V-Prec: 0.5216 | T-Rec: 0.0126 | V-Rec: 0.0113 | T-P@R0.9: 0.0832 | V-P@R0.9: 0.0804
Epoch 035 | Time: 190.3s | LR: 2.00e-04 | T-Loss: 0.2444 | V-Loss: 0.2414 | T-Prec: 0.5187 | V-Prec: 0.4947 | T-Rec: 0.0141 | V-Rec: 0.0137 | T-P@R0.9: 0.0834 | V-P@R0.9: 0.0805
Epoch 036 | Time: 188.4s | LR: 2.00e-04 | T-Loss: 0.2438 | V-Loss: 0.2411 | T-Prec: 0.5951 | V-Prec: 0.5815 | T-Rec: 0.0093 | V-Rec: 0.0066 | T-P@R0.9: 0.0834 | V-P@R0.9: 0.0805
Epoch 037 | Time: 184.1s | LR: 2.00e-04 | T-Loss: 0.2434 | V-Loss: 0.2411 | T-Prec: 0.5713 | V-Prec: 0.5245 | T-Rec: 0.0123 | V-Rec: 0.0106 | T-P@R0.9: 0.0834 | V-P@R0.9: 0.0805
Epoch 038 | Time: 179.4s | LR: 2.00e-04 | T-Loss: 0.2435 | V-Loss: 0.2413 | T-Prec: 0.5329 | V-Prec: 0.5439 | T-Rec: 0.0091 | V-Rec: 0.0086 | T-P@R0.9: 0.0832 | V-P@R0.9: 0.0804
Epoch 039 | Time: 187.5s | LR: 2.00e-04 | T-Loss: 0.2433 | V-Loss: 0.2411 | T-Prec: 0.5433 | V-Prec: 0.5733 | T-Rec: 0.0106 | V-Rec: 0.0095 | T-P@R0.9: 0.0834 | V-P@R0.9: 0.0805
Epoch 040 | Time: 186.0s | LR: 2.00e-04 | T-Loss: 0.2438 | V-Loss: 0.2412 | T-Prec: 0.5408 | V-Prec: 0.5124 | T-Rec: 0.0129 | V-Rec: 0.0121 | T-P@R0.9: 0.0834 | V-P@R0.9: 0.0805
Epoch 041 | Time: 179.8s | LR: 2.00e-04 | T-Loss: 0.2431 | V-Loss: 0.2408 | T-Prec: 0.5849 | V-Prec: 0.6926 | T-Rec: 0.0064 | V-Rec: 0.0026 | T-P@R0.9: 0.0834 | V-P@R0.9: 0.0804
Epoch 042 | Time: 182.1s | LR: 2.00e-04 | T-Loss: 0.2433 | V-Loss: 0.2408 | T-Prec: 0.5597 | V-Prec: 0.4351 | T-Rec: 0.0031 | V-Rec: 0.0014 | T-P@R0.9: 0.0834 | V-P@R0.9: 0.0805
Epoch 043 | Time: 188.7s | LR: 2.00e-04 | T-Loss: 0.2429 | V-Loss: 0.2406 | T-Prec: 0.5829 | V-Prec: 0.6234 | T-Rec: 0.0113 | V-Rec: 0.0064 | T-P@R0.9: 0.0835 | V-P@R0.9: 0.0806
Epoch 044 | Time: 192.3s | LR: 2.00e-04 | T-Loss: 0.2431 | V-Loss: 0.2407 | T-Prec: 0.5415 | V-Prec: 0.5325 | T-Rec: 0.0154 | V-Rec: 0.0126 | T-P@R0.9: 0.0834 | V-P@R0.9: 0.0805
Epoch 045 | Time: 191.0s | LR: 2.00e-04 | T-Loss: 0.2429 | V-Loss: 0.2406 | T-Prec: 0.5889 | V-Prec: 0.5964 | T-Rec: 0.0091 | V-Rec: 0.0093 | T-P@R0.9: 0.0834 | V-P@R0.9: 0.0805
Epoch 046 | Time: 182.8s | LR: 2.00e-04 | T-Loss: 0.2431 | V-Loss: 0.2408 | T-Prec: 0.5766 | V-Prec: 0.5449 | T-Rec: 0.0113 | V-Rec: 0.0102 | T-P@R0.9: 0.0833 | V-P@R0.9: 0.0805
Epoch 047 | Time: 183.3s | LR: 2.00e-04 | T-Loss: 0.2431 | V-Loss: 0.2407 | T-Prec: 0.6224 | V-Prec: 0.5293 | T-Rec: 0.0086 | V-Rec: 0.0076 | T-P@R0.9: 0.0836 | V-P@R0.9: 0.0807
Epoch 048 | Time: 187.5s | LR: 2.00e-04 | T-Loss: 0.2429 | V-Loss: 0.2406 | T-Prec: 0.5987 | V-Prec: 0.6926 | T-Rec: 0.0022 | V-Rec: 0.0026 | T-P@R0.9: 0.0836 | V-P@R0.9: 0.0806
Epoch 049 | Time: 185.1s | LR: 2.00e-04 | T-Loss: 0.2432 | V-Loss: 0.2408 | T-Prec: 0.5987 | V-Prec: 0.6926 | T-Rec: 0.0022 | V-Rec: 0.0026 | T-P@R0.9: 0.0835 | V-P@R0.9: 0.0806
Epoch 050 | Time: 190.6s | LR: 2.00e-04 | T-Loss: 0.2426 | V-Loss: 0.2404 | T-Prec: 0.6361 | V-Prec: 0.6113 | T-Rec: 0.0074 | V-Rec: 0.0049 | T-P@R0.9: 0.0836 | V-P@R0.9: 0.0807
Epoch 051 | Time: 183.1s | LR: 2.00e-04 | T-Loss: 0.2427 | V-Loss: 0.2403 | T-Prec: 0.6361 | V-Prec: 0.6113 | T-Rec: 0.0074 | V-Rec: 0.0049 | T-P@R0.9: 0.0837 | V-P@R0.9: 0.0808
